xRes    yRes    AR      init        Nu      max(u)
2000    200     10      1000x100    
1000    100     10      500x50      29.11
500     50      10      rand        107.4
250     50      10      sine        26.00
100     50      10      sine        24.46
50      50      10      sine        23.45
25      50      10      sine        18.99
15      50      10      sine        19.15
13      50      10      sine        18.43
10      50      10      sine        29.02
10      50      20      sine        21.26
10      50      50      sine        0.9976
10      50      500     sine        0.9968
