# Reynolds number time series
# <Re(t)> averaged between 100.000000 and 400.000000 with sampling frequency 1.000000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
100.000000	 1575.667562	 1575.667562	 1215.661888	 1215.661888	 1023.017338	 1023.017338	 1621.895715	 1621.895715	 1329.273936	 1329.273936	 1248.974601	 1248.974601	 
101.000000	 1596.809700	 1584.358456	 1289.483137	 1251.641944	 1029.381024	 1025.917291	 1644.447367	 1631.708029	 1398.765333	 1362.982470	 1234.597651	 1241.654491	 
102.000000	 1593.755525	 1587.304023	 1296.708511	 1264.987711	 1037.087156	 1028.840824	 1648.858907	 1636.997541	 1418.275519	 1378.165974	 1247.149697	 1243.361902	 
103.000000	 1588.609094	 1587.477145	 1298.284811	 1257.245890	 1046.957409	 1032.315449	 1646.878860	 1639.452969	 1475.014802	 1378.028832	 1251.978336	 1244.938267	 
104.000000	 1520.686834	 1573.411544	 1326.888700	 1257.228365	 1057.386666	 1036.389047	 1596.743726	 1629.680943	 1530.829146	 1391.260951	 1262.820182	 1246.452049	 
105.000000	 1503.528071	 1553.788869	 1352.403960	 1263.982601	 1067.086408	 1041.036160	 1634.156953	 1613.203634	 1568.360182	 1411.281982	 1267.787175	 1248.799907	 
106.000000	 1503.236644	 1531.127498	 1371.226138	 1269.357545	 1076.819589	 1046.115404	 1656.638238	 1593.155732	 1597.852023	 1430.143827	 1252.925254	 1249.089216	 
107.000000	 1460.917988	 1504.983175	 1335.491816	 1268.424907	 1086.991554	 1051.111254	 1632.871196	 1571.171312	 1586.960148	 1442.463818	 1239.630343	 1247.832554	 
108.000000	 1427.000705	 1477.873429	 1246.294318	 1265.584016	 1094.230619	 1055.418856	 1559.295413	 1547.918963	 1517.021246	 1446.777837	 1227.618957	 1245.578598	 
109.000000	 1416.182023	 1454.609196	 1202.523985	 1259.264945	 1097.037393	 1058.640196	 1551.891517	 1527.622020	 1419.917006	 1444.000420	 1220.417075	 1242.808519	 
110.000000	 1480.131814	 1437.230169	 1136.374952	 1246.871358	 1094.509138	 1060.533896	 1583.632043	 1519.438819	 1335.388373	 1433.022808	 1239.611710	 1241.034285	 
111.000000	 1560.260120	 1425.503912	 1164.568619	 1229.038719	 1085.869982	 1060.805742	 1637.353052	 1504.602178	 1320.669443	 1412.489579	 1257.326236	 1240.849075	 
112.000000	 1666.218083	 1423.796252	 1341.806169	 1208.704908	 1071.907059	 1059.341940	 1736.232667	 1488.538026	 1502.916744	 1384.582279	 1257.132515	 1240.933994	 
113.000000	 1687.792021	 1436.697138	 1394.714288	 1191.344810	 1055.529270	 1056.511369	 1757.950029	 1495.294604	 1545.490128	 1354.927674	 1231.867337	 1239.655323	 
114.000000	 1600.034007	 1445.772947	 1299.822806	 1181.788280	 1041.358109	 1053.257043	 1672.967017	 1503.703913	 1551.807110	 1330.652200	 1195.410134	 1236.343925	 
115.000000	 1492.785862	 1446.253343	 1321.032344	 1176.938144	 1031.886809	 1050.152193	 1645.339201	 1505.103279	 1538.942574	 1318.928986	 1166.412657	 1231.533654	 
116.000000	 1460.019911	 1440.602977	 1270.425942	 1166.100618	 1027.683254	 1047.458433	 1610.280223	 1501.082621	 1510.409815	 1310.928171	 1157.654266	 1226.495919	 
117.000000	 1476.483117	 1429.773660	 1260.546797	 1154.116154	 1029.210364	 1045.366897	 1627.575484	 1492.599655	 1509.908492	 1303.275399	 1158.242152	 1221.691176	 
118.000000	 1502.940323	 1416.509324	 1320.800975	 1143.926418	 1037.450313	 1044.138768	 1687.244063	 1482.037570	 1575.393421	 1297.936525	 1153.679730	 1217.556863	 
