# Buoyancy boundary layer depth time series
# <\delta_b(t)> averaged between 100.000000 and 400.000000 with sampling frequency 1.000000
# time		 max(var(b)) in [0, H/2]	 z(max(var(b))in [0, H/2])	  max(var(b))in [H/2, H]	 z(max(var(b))in [H/2, H])	 \delta_b[inst.]	  max(<var(b)>)in [0, H/2]	 z(max(<var(b)>)in [0, H/2])	  max(<var(b)>)in [H/2, H]	 z(max(<var(b)>)in [H/2, H])	 \delta_b[av.]	 
100.000000	 0.013859	 0.042500	 0.028868	 0.967500	 0.037500	 0.013859	 0.042500	 0.028868	 0.967500	 0.037500	 
101.000000	 0.012167	 0.047500	 0.025820	 0.967500	 0.040000	 0.012974	 0.042500	 0.027344	 0.967500	 0.037500	 
102.000000	 0.011183	 0.047500	 0.020968	 0.967500	 0.040000	 0.012363	 0.047500	 0.025219	 0.967500	 0.040000	 
103.000000	 0.013739	 0.067500	 0.018101	 0.962500	 0.052500	 0.012414	 0.047500	 0.023386	 0.967500	 0.040000	 
104.000000	 0.019278	 0.047500	 0.019758	 0.957500	 0.045000	 0.013787	 0.047500	 0.022489	 0.967500	 0.040000	 
105.000000	 0.024218	 0.037500	 0.025902	 0.957500	 0.040000	 0.015313	 0.042500	 0.022853	 0.967500	 0.037500	 
106.000000	 0.024917	 0.032500	 0.033970	 0.962500	 0.035000	 0.016432	 0.042500	 0.024406	 0.962500	 0.040000	 
107.000000	 0.025772	 0.037500	 0.040480	 0.962500	 0.037500	 0.017552	 0.037500	 0.026415	 0.962500	 0.037500	 
108.000000	 0.026767	 0.037500	 0.043078	 0.967500	 0.035000	 0.018576	 0.037500	 0.028195	 0.962500	 0.037500	 
109.000000	 0.025964	 0.037500	 0.040949	 0.967500	 0.035000	 0.019314	 0.037500	 0.029457	 0.967500	 0.035000	 
110.000000	 0.027437	 0.037500	 0.035295	 0.967500	 0.035000	 0.020053	 0.037500	 0.029988	 0.967500	 0.035000	 
111.000000	 0.026852	 0.037500	 0.028269	 0.962500	 0.037500	 0.020619	 0.037500	 0.029844	 0.967500	 0.035000	 
112.000000	 0.024979	 0.032500	 0.022906	 0.957500	 0.037500	 0.020944	 0.037500	 0.029213	 0.967500	 0.035000	 
113.000000	 0.021884	 0.037500	 0.019791	 0.952500	 0.042500	 0.021011	 0.037500	 0.028363	 0.962500	 0.037500	 
114.000000	 0.017700	 0.037500	 0.017742	 0.952500	 0.042500	 0.020790	 0.037500	 0.027586	 0.962500	 0.037500	 
115.000000	 0.014432	 0.037500	 0.015918	 0.957500	 0.040000	 0.020393	 0.037500	 0.026853	 0.962500	 0.037500	 
116.000000	 0.016861	 0.042500	 0.014995	 0.967500	 0.037500	 0.020163	 0.037500	 0.026150	 0.962500	 0.037500	 
117.000000	 0.017546	 0.042500	 0.016603	 0.967500	 0.037500	 0.020008	 0.037500	 0.025618	 0.962500	 0.037500	 
118.000000	 0.015055	 0.042500	 0.018808	 0.967500	 0.037500	 0.019726	 0.037500	 0.025228	 0.962500	 0.037500	 
119.000000	 0.011819	 0.047500	 0.020212	 0.967500	 0.040000	 0.019309	 0.037500	 0.024940	 0.962500	 0.037500	 
120.000000	 0.009859	 0.042500	 0.022101	 0.967500	 0.037500	 0.018855	 0.037500	 0.024783	 0.962500	 0.037500	 
121.000000	 0.011214	 0.122500	 0.024617	 0.967500	 0.077500	 0.018433	 0.037500	 0.024769	 0.967500	 0.035000	 
122.000000	 0.014516	 0.092500	 0.026440	 0.967500	 0.062500	 0.018111	 0.037500	 0.024842	 0.967500	 0.035000	 
123.000000	 0.020193	 0.062500	 0.026757	 0.967500	 0.047500	 0.018000	 0.037500	 0.024921	 0.967500	 0.035000	 
124.000000	 0.025063	 0.052500	 0.024691	 0.967500	 0.042500	 0.018109	 0.037500	 0.024912	 0.967500	 0.035000	 
125.000000	 0.025721	 0.047500	 0.020416	 0.972500	 0.037500	 0.018355	 0.042500	 0.024733	 0.967500	 0.037500	 
126.000000	 0.023048	 0.047500	 0.016368	 0.967500	 0.040000	 0.018517	 0.042500	 0.024423	 0.967500	 0.037500	 
127.000000	 0.019291	 0.042500	 0.015107	 0.967500	 0.037500	 0.018545	 0.042500	 0.024090	 0.967500	 0.037500	 
128.000000	 0.016238	 0.042500	 0.015467	 0.967500	 0.037500	 0.018465	 0.042500	 0.023793	 0.967500	 0.037500	 
129.000000	 0.014956	 0.037500	 0.016793	 0.967500	 0.035000	 0.018342	 0.042500	 0.023560	 0.967500	 0.037500	 
130.000000	 0.015321	 0.037500	 0.018386	 0.972500	 0.032500	 0.018239	 0.042500	 0.023392	 0.967500	 0.037500	 
131.000000	 0.016646	 0.042500	 0.019453	 0.967500	 0.037500	 0.018189	 0.042500	 0.023269	 0.967500	 0.037500	 
132.000000	 0.018846	 0.042500	 0.021381	 0.957500	 0.042500	 0.018209	 0.042500	 0.023200	 0.967500	 0.037500	 
