# Velocity boundary layer depth time series
# <\delta_u(t)> averaged between 100.000000 and 400.000000 with sampling frequency 1.000000
# time		 max(Re_uxRMS)in [0, H/2]	 z(max(Re_uxRMS)in [0, H/2])	  max(Re_uxRMS)in [H/2, H]	 z(max(Re_uxRMS)in [H/2, H])	 \delta_u[inst.]	  max(<Re_uxRMS>)in [0, H/2]	 z(max(<Re_uxRMS>)in [0, H/2])	  max(<Re_uxRMS>)in [H/2, H]	 z(max(<Re_uxRMS>)in [H/2, H])	 \delta_u[av.]	 
100.000000	 1327.011810	 0.297500	 1329.273936	 0.842500	 0.227500	 1327.011810	 0.297500	 1329.273936	 0.842500	 0.227500	 
101.000000	 1352.864179	 0.287500	 1398.765333	 0.832500	 0.227500	 1338.585620	 0.292500	 1362.982470	 0.837500	 0.227500	 
102.000000	 1348.599393	 0.287500	 1418.275519	 0.857500	 0.215000	 1341.598026	 0.292500	 1378.165974	 0.842500	 0.225000	 
103.000000	 1342.996272	 0.292500	 1475.014802	 0.897500	 0.197500	 1341.947588	 0.292500	 1378.028832	 0.862500	 0.215000	 
104.000000	 1247.827154	 0.307500	 1530.829146	 0.917500	 0.195000	 1322.111052	 0.292500	 1391.260951	 0.877500	 0.207500	 
105.000000	 1182.315715	 0.337500	 1568.360182	 0.922500	 0.207500	 1292.560750	 0.297500	 1411.281982	 0.887500	 0.205000	 
106.000000	 1153.945686	 0.097500	 1597.852023	 0.922500	 0.087500	 1258.081418	 0.302500	 1430.143827	 0.902500	 0.200000	 
107.000000	 1233.894759	 0.077500	 1586.960148	 0.932500	 0.072500	 1217.826702	 0.302500	 1442.463818	 0.907500	 0.197500	 
108.000000	 1279.713995	 0.077500	 1517.021246	 0.937500	 0.070000	 1177.367775	 0.307500	 1446.777837	 0.912500	 0.197500	 
109.000000	 1304.310844	 0.087500	 1419.917006	 0.917500	 0.085000	 1147.186255	 0.302500	 1444.000420	 0.912500	 0.195000	 
110.000000	 1289.988548	 0.092500	 1335.388373	 0.892500	 0.100000	 1126.839137	 0.292500	 1433.022808	 0.912500	 0.190000	 
111.000000	 1320.669443	 0.142500	 1304.646821	 0.717500	 0.212500	 1116.019772	 0.277500	 1412.489579	 0.907500	 0.185000	 
112.000000	 1405.955985	 0.157500	 1502.916744	 0.742500	 0.207500	 1113.028976	 0.242500	 1384.582279	 0.902500	 0.170000	 
113.000000	 1506.570514	 0.152500	 1545.490128	 0.752500	 0.200000	 1131.247779	 0.177500	 1354.927674	 0.897500	 0.140000	 
114.000000	 1551.807110	 0.147500	 1435.314980	 0.762500	 0.192500	 1156.571257	 0.167500	 1330.652200	 0.892500	 0.137500	 
115.000000	 1538.942574	 0.157500	 1295.421012	 0.757500	 0.200000	 1180.141411	 0.162500	 1318.928986	 0.877500	 0.142500	 
116.000000	 1510.409815	 0.142500	 1183.194536	 0.767500	 0.187500	 1198.878923	 0.162500	 1310.928171	 0.877500	 0.142500	 
117.000000	 1509.908492	 0.157500	 1194.789406	 0.917500	 0.120000	 1216.153041	 0.162500	 1303.275399	 0.882500	 0.140000	 
118.000000	 1575.393421	 0.167500	 1253.604088	 0.937500	 0.115000	 1235.052334	 0.162500	 1297.936525	 0.882500	 0.140000	 
119.000000	 1632.269619	 0.172500	 1305.041591	 0.937500	 0.117500	 1254.404066	 0.167500	 1294.574990	 0.887500	 0.140000	 
120.000000	 1551.962537	 0.157500	 1343.729276	 0.932500	 0.112500	 1268.364990	 0.162500	 1293.123949	 0.892500	 0.135000	 
