# Buoyancy boundary layer depth time series
# <\delta_b(t)> averaged between 400.000000 and 600.000000 with sampling frequency 1.000000
# time		 max(var(b)) in [0, H/2]	 z(max(var(b))in [0, H/2])	  max(var(b))in [H/2, H]	 z(max(var(b))in [H/2, H])	 \delta_b[inst.]	  max(<var(b)>)in [0, H/2]	 z(max(<var(b)>)in [0, H/2])	  max(<var(b)>)in [H/2, H]	 z(max(<var(b)>)in [H/2, H])	 \delta_b[av.]	 
400.000000	 0.018244	 0.021250	 0.022540	 0.978750	 0.021250	 0.018244	 0.021250	 0.022540	 0.978750	 0.021250	 
401.000000	 0.018167	 0.018750	 0.018336	 0.978750	 0.020000	 0.018176	 0.021250	 0.020438	 0.978750	 0.021250	 
402.000000	 0.018493	 0.018750	 0.016993	 0.978750	 0.020000	 0.018229	 0.021250	 0.019290	 0.978750	 0.021250	 
403.000000	 0.022777	 0.018750	 0.018351	 0.978750	 0.020000	 0.019344	 0.021250	 0.019055	 0.978750	 0.021250	 
404.000000	 0.024898	 0.018750	 0.020216	 0.978750	 0.020000	 0.020433	 0.021250	 0.019287	 0.978750	 0.021250	 
405.000000	 0.025711	 0.018750	 0.021805	 0.981250	 0.018750	 0.021288	 0.021250	 0.019696	 0.978750	 0.021250	 
406.000000	 0.024975	 0.018750	 0.022039	 0.981250	 0.018750	 0.021793	 0.018750	 0.019992	 0.978750	 0.020000	 
407.000000	 0.022728	 0.018750	 0.021422	 0.978750	 0.020000	 0.021909	 0.018750	 0.020171	 0.978750	 0.020000	 
408.000000	 0.023962	 0.026250	 0.022320	 0.978750	 0.023750	 0.022075	 0.021250	 0.020409	 0.978750	 0.021250	 
409.000000	 0.027464	 0.021250	 0.022575	 0.976250	 0.022500	 0.022614	 0.021250	 0.020624	 0.978750	 0.021250	 
410.000000	 0.032489	 0.021250	 0.021770	 0.978750	 0.021250	 0.023511	 0.021250	 0.020728	 0.978750	 0.021250	 
411.000000	 0.031016	 0.018750	 0.021190	 0.978750	 0.020000	 0.024127	 0.021250	 0.020767	 0.978750	 0.021250	 
412.000000	 0.024206	 0.018750	 0.020735	 0.978750	 0.020000	 0.024110	 0.021250	 0.020764	 0.978750	 0.021250	 
413.000000	 0.020500	 0.018750	 0.020087	 0.978750	 0.020000	 0.023833	 0.021250	 0.020716	 0.978750	 0.021250	 
414.000000	 0.019666	 0.021250	 0.019702	 0.978750	 0.021250	 0.023555	 0.021250	 0.020648	 0.978750	 0.021250	 
415.000000	 0.022178	 0.021250	 0.021066	 0.976250	 0.022500	 0.023469	 0.021250	 0.020651	 0.978750	 0.021250	 
416.000000	 0.024204	 0.018750	 0.019592	 0.981250	 0.018750	 0.023492	 0.021250	 0.020582	 0.978750	 0.021250	 
417.000000	 0.023783	 0.018750	 0.019894	 0.978750	 0.020000	 0.023487	 0.021250	 0.020543	 0.978750	 0.021250	 
418.000000	 0.027985	 0.023750	 0.025407	 0.981250	 0.021250	 0.023708	 0.021250	 0.020799	 0.978750	 0.021250	 
419.000000	 0.034284	 0.018750	 0.028425	 0.983750	 0.017500	 0.024226	 0.021250	 0.021143	 0.978750	 0.021250	 
420.000000	 0.035124	 0.016250	 0.025933	 0.983750	 0.016250	 0.024705	 0.018750	 0.021330	 0.978750	 0.020000	 
421.000000	 0.033659	 0.016250	 0.026396	 0.981250	 0.017500	 0.025104	 0.018750	 0.021544	 0.978750	 0.020000	 
422.000000	 0.028663	 0.018750	 0.029031	 0.976250	 0.021250	 0.025259	 0.018750	 0.021867	 0.978750	 0.020000	 
423.000000	 0.023227	 0.021250	 0.028888	 0.976250	 0.022500	 0.025166	 0.018750	 0.022150	 0.978750	 0.020000	 
424.000000	 0.021383	 0.021250	 0.024194	 0.971250	 0.025000	 0.024999	 0.018750	 0.022205	 0.978750	 0.020000	 
425.000000	 0.022029	 0.021250	 0.019752	 0.978750	 0.021250	 0.024871	 0.018750	 0.022111	 0.978750	 0.020000	 
426.000000	 0.020199	 0.023750	 0.017450	 0.981250	 0.021250	 0.024676	 0.018750	 0.021935	 0.978750	 0.020000	 
427.000000	 0.018743	 0.018750	 0.017072	 0.978750	 0.020000	 0.024464	 0.018750	 0.021761	 0.978750	 0.020000	 
428.000000	 0.019512	 0.021250	 0.017264	 0.978750	 0.021250	 0.024283	 0.018750	 0.021606	 0.978750	 0.020000	 
429.000000	 0.021621	 0.021250	 0.015627	 0.978750	 0.021250	 0.024191	 0.021250	 0.021407	 0.978750	 0.021250	 
