# Reynolds number time series
# <Re(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
200.000000	 4911.756524	 4911.756524	 4082.163562	 4082.163562	 4627.525080	 4627.525080	 5306.803830	 5306.803830	 4726.161502	 4726.161502	 5221.282263	 5221.282263	 
200.500000	 4862.899732	 4873.388063	 4116.659785	 4093.576159	 4623.111553	 4625.231188	 5272.569466	 5289.396135	 4728.688863	 4724.215134	 5198.747363	 5209.734101	 
201.000000	 4860.044736	 4864.519655	 4172.796595	 4104.948596	 4618.908689	 4623.116556	 5245.328283	 5273.867736	 4770.049130	 4722.505647	 5177.622895	 5198.680075	 
201.500000	 4886.326510	 4853.197030	 4182.971546	 4114.901658	 4613.995379	 4620.755851	 5227.228758	 5262.183397	 4741.939125	 4725.479645	 5159.489711	 5188.838177	 
202.000000	 4858.486885	 4841.868398	 4180.320969	 4125.813542	 4608.961473	 4618.242697	 5230.148789	 5255.564510	 4783.396358	 4732.348454	 5147.653281	 5180.499155	 
202.500000	 4869.246796	 4846.180212	 4097.483368	 4121.091846	 4605.533631	 4615.933072	 5234.438834	 5251.047879	 4824.455893	 4738.537279	 5143.984128	 5174.345672	 
203.000000	 4860.233775	 4846.601453	 4062.955759	 4107.250952	 4605.496517	 4614.235492	 5229.621327	 5247.278217	 4850.434023	 4747.295706	 5155.674551	 5171.432960	 
203.500000	 4853.573949	 4840.732850	 4063.354876	 4092.283859	 4609.011345	 4613.340086	 5249.347494	 5247.482505	 4851.500664	 4756.489082	 5182.562700	 5172.632484	 
204.000000	 4890.716900	 4827.921355	 4030.457171	 4079.022248	 4615.037102	 4613.195543	 5287.322331	 5251.825879	 4825.404101	 4761.862831	 5215.709640	 5177.234411	 
204.500000	 4907.817207	 4809.295112	 3989.123885	 4069.666344	 4622.073671	 4613.599778	 5317.956003	 5258.293341	 4786.595719	 4763.710431	 5244.234870	 5183.717996	 
205.000000	 4932.412486	 4816.345805	 3984.710726	 4059.790244	 4629.158350	 4614.478065	 5332.001249	 5264.907289	 4741.936659	 4761.402156	 5252.500958	 5189.750084	 
205.500000	 4966.306136	 4827.693448	 4038.609354	 4046.032712	 4635.671853	 4615.794119	 5357.367973	 5272.599515	 4686.126938	 4754.962689	 5263.377884	 5195.614645	 
206.000000	 4968.740673	 4837.538704	 4081.047051	 4034.084989	 4641.005397	 4617.419967	 5393.675830	 5281.813829	 4669.785750	 4747.845893	 5280.959932	 5202.062585	 
206.500000	 4957.515584	 4845.727664	 4125.815816	 4039.578977	 4644.904738	 4619.068643	 5376.221690	 5288.552643	 4702.681955	 4742.124148	 5290.664800	 5208.176324	 
207.000000	 4958.941248	 4853.269227	 4153.327110	 4046.881203	 4647.572829	 4620.651068	 5352.573875	 5292.740034	 4753.205719	 4738.187234	 5275.155832	 5212.564371	 
207.500000	 4954.845039	 4859.419606	 4189.623007	 4054.995453	 4649.635237	 4622.139386	 5326.185396	 5294.706947	 4797.991110	 4736.024187	 5260.927445	 5215.485216	 
208.000000	 4983.125489	 4863.991554	 4268.417577	 4065.695125	 4651.410230	 4623.653659	 5308.369191	 5295.478821	 4819.317964	 4736.567849	 5251.343983	 5217.446948	 
208.500000	 5032.148779	 4868.472370	 4321.069755	 4078.869448	 4652.660713	 4625.043258	 5299.456311	 5295.668684	 4869.620619	 4737.254561	 5242.366432	 5218.660680	 
