# Buoyancy boundary layer depth time series
# <\delta_b(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 max(var(b)) in [0, H/2]	 z(max(var(b))in [0, H/2])	  max(var(b))in [H/2, H]	 z(max(var(b))in [H/2, H])	 \delta_b[inst.]	  max(<var(b)>)in [0, H/2]	 z(max(<var(b)>)in [0, H/2])	  max(<var(b)>)in [H/2, H]	 z(max(<var(b)>)in [H/2, H])	 \delta_b[av.]	 
200.000000	 0.029717	 0.018333	 0.028433	 0.981667	 0.018333	 0.029717	 0.018333	 0.028433	 0.981667	 0.018333	 
200.500000	 0.028776	 0.018333	 0.028024	 0.981667	 0.018333	 0.029246	 0.018333	 0.028228	 0.981667	 0.018333	 
201.000000	 0.027965	 0.018333	 0.027824	 0.981667	 0.018333	 0.028819	 0.018333	 0.028094	 0.981667	 0.018333	 
201.500000	 0.026887	 0.018333	 0.028705	 0.978333	 0.020000	 0.028336	 0.018333	 0.028226	 0.981667	 0.018333	 
202.000000	 0.026082	 0.018333	 0.029092	 0.981667	 0.018333	 0.027885	 0.018333	 0.028399	 0.981667	 0.018333	 
202.500000	 0.025790	 0.021667	 0.029503	 0.981667	 0.020000	 0.027536	 0.018333	 0.028583	 0.981667	 0.018333	 
203.000000	 0.025895	 0.021667	 0.030436	 0.978333	 0.021667	 0.027276	 0.018333	 0.028838	 0.981667	 0.018333	 
203.500000	 0.026443	 0.021667	 0.031579	 0.981667	 0.020000	 0.027147	 0.018333	 0.029181	 0.981667	 0.018333	 
204.000000	 0.027003	 0.021667	 0.032125	 0.981667	 0.020000	 0.027130	 0.018333	 0.029508	 0.981667	 0.018333	 
204.500000	 0.027281	 0.018333	 0.032579	 0.981667	 0.018333	 0.027145	 0.018333	 0.029815	 0.981667	 0.018333	 
205.000000	 0.026852	 0.018333	 0.032775	 0.981667	 0.018333	 0.027118	 0.018333	 0.030084	 0.981667	 0.018333	 
205.500000	 0.026299	 0.018333	 0.032645	 0.981667	 0.018333	 0.027050	 0.018333	 0.030297	 0.981667	 0.018333	 
206.000000	 0.025676	 0.018333	 0.032534	 0.981667	 0.018333	 0.026944	 0.018333	 0.030469	 0.981667	 0.018333	 
