# Velocity boundary layer depth time series
# <\delta_u(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 max(Re_uxRMS)in [0, H/2]	 z(max(Re_uxRMS)in [0, H/2])	  max(Re_uxRMS)in [H/2, H]	 z(max(Re_uxRMS)in [H/2, H])	 \delta_u[inst.]	  max(<Re_uxRMS>)in [0, H/2]	 z(max(<Re_uxRMS>)in [0, H/2])	  max(<Re_uxRMS>)in [H/2, H]	 z(max(<Re_uxRMS>)in [H/2, H])	 \delta_u[av.]	 
200.000000	 4675.847877	 0.058333	 4726.161502	 0.931667	 0.063333	 4675.847877	 0.058333	 4726.161502	 0.931667	 0.063333	 
200.500000	 4728.688863	 0.081667	 4722.268766	 0.931667	 0.075000	 4681.884926	 0.068333	 4724.215134	 0.931667	 0.068333	 
201.000000	 4770.049130	 0.081667	 4720.043944	 0.935000	 0.073333	 4705.614501	 0.078333	 4722.505647	 0.931667	 0.073333	 
201.500000	 4734.711902	 0.085000	 4741.939125	 0.941667	 0.071667	 4711.829195	 0.078333	 4725.479645	 0.935000	 0.071667	 
202.000000	 4701.665711	 0.098333	 4783.396358	 0.948333	 0.075000	 4703.679928	 0.081667	 4732.348454	 0.938333	 0.071667	 
202.500000	 4662.422701	 0.088333	 4824.455893	 0.955000	 0.066667	 4695.744143	 0.085000	 4738.537279	 0.941667	 0.071667	 
203.000000	 4605.538203	 0.085000	 4850.434023	 0.958333	 0.063333	 4682.857580	 0.085000	 4747.295706	 0.948333	 0.068333	 
203.500000	 4551.192712	 0.088333	 4851.500664	 0.958333	 0.065000	 4666.295595	 0.085000	 4756.489082	 0.948333	 0.068333	 
204.000000	 4528.131411	 0.088333	 4825.404101	 0.958333	 0.065000	 4650.785797	 0.085000	 4761.862831	 0.948333	 0.068333	 
204.500000	 4529.039203	 0.088333	 4786.595719	 0.955000	 0.066667	 4638.586083	 0.085000	 4763.710431	 0.948333	 0.068333	 
205.000000	 4533.789460	 0.081667	 4741.936659	 0.951667	 0.065000	 4628.856358	 0.085000	 4761.402156	 0.948333	 0.068333	 
205.500000	 4521.140384	 0.071667	 4686.126938	 0.951667	 0.060000	 4617.124184	 0.085000	 4754.962689	 0.948333	 0.068333	 
206.000000	 4502.758053	 0.061667	 4669.785750	 0.935000	 0.063333	 4603.021059	 0.081667	 4747.845893	 0.948333	 0.066667	 
206.500000	 4480.482173	 0.055000	 4702.681955	 0.928333	 0.063333	 4588.274712	 0.078333	 4742.124148	 0.948333	 0.065000	 
207.000000	 4446.103358	 0.055000	 4753.205719	 0.925000	 0.065000	 4576.374076	 0.078333	 4738.187234	 0.948333	 0.065000	 
207.500000	 4436.865872	 0.061667	 4797.991110	 0.925000	 0.068333	 4566.663143	 0.078333	 4736.024187	 0.945000	 0.066667	 
208.000000	 4466.327032	 0.068333	 4819.317964	 0.915000	 0.076667	 4560.079370	 0.078333	 4736.567849	 0.945000	 0.066667	 
208.500000	 4503.445050	 0.071667	 4869.620619	 0.911667	 0.080000	 4556.670571	 0.078333	 4737.254561	 0.941667	 0.068333	 
209.000000	 4584.378891	 0.095000	 4901.149173	 0.911667	 0.091667	 4557.043332	 0.078333	 4739.908990	 0.941667	 0.068333	 
209.500000	 4677.306102	 0.101667	 4906.891388	 0.921667	 0.090000	 4559.852072	 0.078333	 4745.653214	 0.941667	 0.068333	 
210.000000	 4727.350883	 0.101667	 4947.206402	 0.935000	 0.083333	 4564.322633	 0.081667	 4755.074429	 0.938333	 0.071667	 
210.500000	 4730.495046	 0.095000	 4977.357119	 0.938333	 0.078333	 4570.291616	 0.081667	 4765.178188	 0.938333	 0.071667	 
211.000000	 4720.717383	 0.088333	 4979.006984	 0.938333	 0.075000	 4576.432479	 0.085000	 4774.475092	 0.938333	 0.073333	 
211.500000	 4717.725536	 0.085000	 4952.301874	 0.938333	 0.073333	 4582.319690	 0.085000	 4781.884541	 0.938333	 0.073333	 
