# Reynolds number time series
# <Re(t)> averaged between 250.000000 and 300.000000 with sampling frequency 0.500000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
250.000000	 19980.510448	 19980.510448	 17846.024003	 17846.024003	 13594.597919	 13594.597919	 21502.825910	 21502.825910	 19902.568749	 19902.568749	 17455.379675	 17455.379675	 
250.500000	 20429.511369	 20180.707682	 17912.348211	 17843.339983	 13770.553812	 13670.503226	 21899.683666	 21659.342416	 19908.601116	 19879.281710	 16729.308369	 17016.016699	 
251.000000	 20588.395761	 20261.678626	 17560.187962	 17704.117906	 13914.370183	 13731.467548	 22329.545505	 21711.413300	 19367.334843	 19708.632754	 16106.955574	 16652.633847	 
251.500000	 20639.169969	 20353.933520	 17502.722844	 17634.230755	 14013.530939	 13784.622679	 22881.816190	 21905.455463	 19582.031791	 19666.163229	 15774.738800	 16375.210406	 
252.000000	 20516.741736	 20379.638205	 17403.764130	 17586.776405	 14034.400729	 13822.799557	 23284.543968	 22126.770297	 20111.810375	 19750.436097	 15463.113264	 16181.939476	 
252.500000	 20334.416115	 20369.096934	 17710.627411	 17602.061173	 13920.086557	 13834.553178	 23158.527189	 22298.719879	 20747.802568	 19916.326615	 15040.243130	 15980.157195	 
253.000000	 20280.308616	 20353.916309	 18137.145117	 17674.753102	 13566.023246	 13795.170178	 23324.374092	 22441.655223	 21441.022461	 20133.823549	 14747.442468	 15788.526451	 
253.500000	 20140.238048	 20322.235456	 18223.073454	 17736.143947	 13016.571019	 13697.460242	 23527.042518	 22577.328635	 21857.332846	 20337.436509	 14436.301613	 15616.951754	 
254.000000	 19968.813229	 20238.759875	 17888.510914	 17720.651232	 12434.263848	 13552.839174	 23406.052154	 22666.145750	 21740.891814	 20479.027325	 14161.843425	 15447.482406	 
254.500000	 19411.834065	 20101.139806	 17248.891580	 17635.354940	 12241.929739	 13408.997055	 23038.128903	 22692.796639	 21273.051507	 20535.309422	 14393.802629	 15277.891932	 
255.000000	 18617.275665	 19900.760808	 16243.670586	 17476.465657	 13022.386010	 13277.788763	 22428.379170	 22630.248807	 20231.515734	 20472.148384	 14870.052215	 15098.756826	 
255.500000	 17596.947231	 19668.156367	 14836.238548	 17210.147198	 13540.168335	 13183.584345	 21427.915948	 22510.154223	 18939.072499	 20267.599219	 15146.502589	 14949.627824	 
256.000000	 17094.170327	 19316.455673	 14510.693424	 16901.888085	 13744.318384	 13117.934352	 21330.572965	 22194.312334	 17605.852306	 19962.935476	 14862.565431	 14861.850444	 
256.500000	 17223.809426	 19011.363551	 14031.119786	 16645.951445	 13891.648448	 13083.762133	 20911.096196	 21817.050795	 16435.198683	 19654.221737	 15039.566034	 14842.164497	 
257.000000	 17905.569827	 18700.120200	 13389.417658	 16370.879231	 14218.808069	 13067.120245	 21711.019848	 21405.554525	 15654.732209	 19321.036113	 15945.842663	 14910.921378	 
257.500000	 16998.584479	 18366.972440	 14173.037200	 16058.712762	 14731.367846	 13083.762242	 20540.435321	 20989.668953	 16517.465997	 18957.318566	 17450.476414	 15053.129386	 
258.000000	 17234.098291	 18031.229672	 15735.147143	 15758.890302	 14973.477771	 13082.689475	 20873.000211	 20576.270137	 18113.003572	 18602.725901	 18826.333990	 15149.142022	 
258.500000	 17849.552370	 17712.697289	 16859.375168	 15472.966009	 14805.291012	 13047.304347	 20421.989464	 20193.928368	 19926.512368	 18243.567976	 19443.697958	 15181.655248	 
259.000000	 18747.175632	 17405.638535	 17111.411844	 15172.112325	 14111.400671	 13040.859832	 21007.558664	 19858.935366	 20608.475739	 17860.990778	 18854.383352	 15194.559995	 
259.500000	 19881.783819	 17127.835853	 18222.102579	 14901.201580	 13659.808129	 13023.244757	 22158.022385	 19535.429182	 21210.639691	 17510.137881	 18217.184469	 15164.161119	 
260.000000	 20841.386219	 16863.772928	 18921.942066	 14655.630984	 13258.297149	 12990.795952	 22901.943687	 19205.093556	 21596.744692	 17206.296271	 17402.074998	 15101.187904	 
260.500000	 21861.650129	 16626.044982	 19245.818361	 14437.202003	 12811.543095	 12931.910262	 23791.702353	 18899.583945	 22280.086704	 16943.553104	 16278.082944	 15012.817105	 
261.000000	 23231.923203	 16444.833683	 19877.197602	 14233.821518	 12456.361844	 12846.716426	 25641.131535	 18659.222182	 22979.245776	 16683.118611	 15101.250559	 14907.095639	 
261.500000	 22961.248899	 16313.829905	 20167.537363	 14045.025030	 12214.315968	 12768.899193	 25768.418899	 18475.051831	 23384.972683	 16429.419508	 14431.877174	 14794.960675	 
262.000000	 23382.567486	 16209.816825	 20162.714037	 13880.843271	 12221.415094	 12708.714664	 26227.680602	 18310.892851	 23245.708921	 16210.398679	 14071.513655	 14691.208706	 
262.500000	 22178.430137	 16295.389217	 18974.572976	 13837.155740	 12361.692194	 12669.688384	 25306.204765	 18141.396090	 22093.754875	 16036.486734	 13948.822794	 14607.142168	 
263.000000	 21316.083730	 16480.049121	 18038.892057	 13980.718118	 12655.759594	 12648.951551	 23075.466632	 17966.121473	 20600.009719	 16095.433892	 14864.705270	 14540.720388	 
263.500000	 20029.069605	 16605.050562	 16566.669995	 14051.845959	 12800.733977	 12637.269029	 21611.114422	 17965.828337	 19608.603523	 16158.538843	 16347.714809	 14494.672329	 
264.000000	 18349.217949	 16644.922453	 15345.903481	 14063.634001	 12930.517224	 12638.353737	 20445.411997	 17996.951067	 17984.544648	 16199.929047	 17036.486739	 14477.038832	 
264.500000	 16964.872800	 16640.920990	 14151.666249	 14062.755940	 13137.980849	 12651.715915	 20823.330791	 17987.689908	 16538.897925	 16209.760064	 17752.497073	 14497.385052	 
265.000000	 17121.418578	 16609.009168	 13177.784168	 14023.751447	 13434.918171	 12673.511790	 21304.737894	 17973.293753	 15025.903740	 16147.538089	 18643.011228	 14592.997050	 
265.500000	 18171.194785	 16530.281100	 13673.585527	 13937.022933	 14157.644074	 12719.848539	 20777.430091	 17899.211835	 14980.999693	 16079.102918	 19186.627887	 14733.742952	 
266.000000	 19244.695523	 16414.130453	 14414.785158	 13866.918329	 14538.295985	 12743.239075	 21851.659926	 17782.897787	 15629.247590	 16016.494976	 19232.603035	 14821.364976	 
266.500000	 20376.627564	 16297.724058	 14884.967265	 13808.067078	 14736.766944	 12746.803008	 22812.422490	 17662.065592	 16123.378026	 15951.056714	 19178.642561	 14874.259389	 
267.000000	 20247.151534	 16189.499382	 16179.179555	 13745.489435	 14408.145661	 12734.999693	 21748.115533	 17697.187853	 17533.705983	 15881.473978	 18615.595141	 14906.373837	 
267.500000	 20455.784864	 16132.930672	 16032.124959	 13684.636233	 14068.540366	 12716.924140	 21718.120017	 17808.856319	 17443.433106	 15807.406417	 18225.997230	 14917.477597	 
268.000000	 20493.424453	 16248.949157	 15466.356266	 13629.254922	 13855.119987	 12694.296411	 21878.799414	 17914.705558	 16861.313395	 15724.798593	 17880.805914	 14903.747553	 
268.500000	 20668.519274	 16356.298314	 15010.858078	 13572.544127	 13795.962049	 12670.465564	 21899.215828	 18017.014945	 17252.530670	 15640.290569	 17422.308075	 14876.952102	 
269.000000	 20534.812620	 16439.290464	 14971.411410	 13516.225544	 13781.661361	 12647.367607	 21733.497511	 18097.949928	 18941.202880	 15555.507946	 17070.505906	 14850.741173	 
269.500000	 20826.936643	 16515.854049	 15292.687633	 13457.655306	 13583.466069	 12633.352940	 22352.973953	 18166.548093	 20023.103317	 15470.817133	 16340.052765	 14846.985435	 
270.000000	 20451.930077	 16593.764774	 15639.942795	 13423.639711	 13242.636431	 12625.462054	 22463.787763	 18234.138597	 19962.994235	 15466.872805	 15393.154360	 14836.364423	 
270.500000	 20610.324066	 16686.822815	 16120.562688	 13464.339994	 12956.854584	 12609.205215	 22762.127209	 18312.500884	 20796.719183	 15538.783805	 15478.177248	 14814.004408	 
271.000000	 21481.543423	 16796.934721	 16235.224064	 13524.192628	 12814.592615	 12582.348640	 23266.892735	 18414.828234	 20168.173502	 15637.473948	 15379.226851	 14782.731765	 
271.500000	 21375.653332	 16895.554916	 16140.283572	 13563.869694	 12967.028128	 12561.906561	 23297.915783	 18515.013396	 20955.751018	 15733.158205	 14756.055385	 14753.324550	 
272.000000	 19929.497481	 16953.906988	 16819.281703	 13618.052536	 13470.383545	 12557.650999	 23571.314273	 18573.530699	 21748.967138	 15853.237262	 15540.651779	 14731.466647	 
272.500000	 19852.772194	 16978.163142	 16797.123132	 13682.695973	 13898.812078	 12570.459470	 23995.322801	 18610.422327	 21671.003323	 15979.710438	 15575.277107	 14722.368435	 
273.000000	 19455.447332	 17011.992305	 15625.707696	 13715.417113	 14416.356395	 12602.288283	 23689.366808	 18681.459632	 20191.692424	 16034.234703	 16328.046749	 14725.934488	 
273.500000	 18257.967440	 17033.411535	 13645.148685	 13693.034870	 14879.239568	 12646.123681	 22295.191647	 18754.401973	 17578.757977	 16036.073876	 17372.586044	 14743.425737	 
274.000000	 19066.668878	 17008.472420	 13856.049604	 13658.594625	 15429.267137	 12695.818585	 22312.469780	 18747.034346	 17262.795086	 16018.588139	 18030.770193	 14784.123119	 
274.500000	 19036.582551	 16978.703511	 13129.052360	 13623.776982	 15647.706946	 12754.001201	 21632.896329	 18708.048119	 15760.143406	 15998.407516	 19433.268531	 14853.562510	 
275.000000	 18600.525197	 16945.087400	 12550.362727	 13589.775601	 16357.634805	 12824.121626	 21310.304228	 18659.004646	 14436.708693	 15964.659905	 20161.137465	 14955.904024	 
275.500000	 18452.922356	 16892.981799	 12470.517646	 13549.471151	 16666.921849	 12886.006920	 21572.816555	 18587.480573	 14184.343846	 15904.694521	 20274.044578	 15026.765399	 
276.000000	 19599.077108	 16824.408836	 12287.987579	 13488.119241	 16904.206952	 12927.947711	 22678.236589	 18498.062964	 14188.652675	 15835.623020	 19767.871677	 15070.827979	 
