# Buoyancy boundary layer depth time series
# <\delta_b(t)> averaged between 250.000000 and 300.000000 with sampling frequency 0.500000
# time		 max(var(b)) in [0, H/2]	 z(max(var(b))in [0, H/2])	  max(var(b))in [H/2, H]	 z(max(var(b))in [H/2, H])	 \delta_b[inst.]	  max(<var(b)>)in [0, H/2]	 z(max(<var(b)>)in [0, H/2])	  max(<var(b)>)in [H/2, H]	 z(max(<var(b)>)in [H/2, H])	 \delta_b[av.]	 
250.000000	 0.018683	 0.011875	 0.019062	 0.990625	 0.010625	 0.018683	 0.011875	 0.019062	 0.990625	 0.010625	 
250.500000	 0.018689	 0.011875	 0.020131	 0.990625	 0.010625	 0.018686	 0.011875	 0.019596	 0.990625	 0.010625	 
251.000000	 0.018574	 0.011875	 0.020558	 0.991875	 0.010000	 0.018649	 0.011875	 0.019852	 0.990625	 0.010625	 
251.500000	 0.017654	 0.011875	 0.019739	 0.991875	 0.010000	 0.018400	 0.011875	 0.019813	 0.991875	 0.010000	 
252.000000	 0.016452	 0.011875	 0.018783	 0.991875	 0.010000	 0.018010	 0.011875	 0.019607	 0.991875	 0.010000	 
252.500000	 0.015725	 0.011875	 0.017353	 0.990625	 0.010625	 0.017629	 0.011875	 0.019204	 0.991875	 0.010000	 
253.000000	 0.015116	 0.011875	 0.017423	 0.990625	 0.010625	 0.017270	 0.011875	 0.018904	 0.991875	 0.010000	 
253.500000	 0.014751	 0.010625	 0.018614	 0.989375	 0.010625	 0.016936	 0.011875	 0.018859	 0.990625	 0.010625	 
254.000000	 0.014777	 0.010625	 0.021423	 0.990625	 0.010000	 0.016658	 0.011875	 0.019144	 0.990625	 0.010625	 
254.500000	 0.015124	 0.009375	 0.021968	 0.991875	 0.008750	 0.016463	 0.010625	 0.019413	 0.990625	 0.010000	 
255.000000	 0.015740	 0.009375	 0.020894	 0.990625	 0.009375	 0.016387	 0.010625	 0.019547	 0.990625	 0.010000	 
255.500000	 0.017318	 0.010625	 0.020954	 0.990625	 0.010000	 0.016465	 0.010625	 0.019664	 0.990625	 0.010000	 
256.000000	 0.019957	 0.009375	 0.019503	 0.991875	 0.008750	 0.016728	 0.010625	 0.019645	 0.990625	 0.010000	 
256.500000	 0.021502	 0.009375	 0.017504	 0.990625	 0.009375	 0.017008	 0.010625	 0.019492	 0.990625	 0.010000	 
