# Velocity boundary layer depth time series
# <\delta_u(t)> averaged between 250.000000 and 300.000000 with sampling frequency 0.500000
# time		 max(Re_uxRMS)in [0, H/2]	 z(max(Re_uxRMS)in [0, H/2])	  max(Re_uxRMS)in [H/2, H]	 z(max(Re_uxRMS)in [H/2, H])	 \delta_u[inst.]	  max(<Re_uxRMS>)in [0, H/2]	 z(max(<Re_uxRMS>)in [0, H/2])	  max(<Re_uxRMS>)in [H/2, H]	 z(max(<Re_uxRMS>)in [H/2, H])	 \delta_u[av.]	 
250.000000	 13832.195873	 0.140625	 19902.568749	 0.885625	 0.127500	 13832.195873	 0.140625	 19902.568749	 0.885625	 0.127500	 
250.500000	 13648.359341	 0.124375	 19908.601116	 0.874375	 0.125000	 13702.721822	 0.128125	 19879.281710	 0.880625	 0.123750	 
251.000000	 13430.722260	 0.143125	 19367.334843	 0.880625	 0.131250	 13583.263360	 0.130625	 19708.632754	 0.880625	 0.125000	 
251.500000	 13455.288753	 0.163125	 19582.031791	 0.869375	 0.146875	 13455.332778	 0.143125	 19666.163229	 0.878125	 0.132500	 
252.000000	 13146.974746	 0.185625	 20111.810375	 0.871875	 0.156875	 13225.524534	 0.139375	 19750.436097	 0.878125	 0.130625	 
252.500000	 12737.263952	 0.110625	 20747.802568	 0.879375	 0.115625	 13108.960214	 0.135625	 19916.326615	 0.878125	 0.128750	 
253.000000	 13074.241561	 0.114375	 21441.022461	 0.876875	 0.118750	 13067.094405	 0.130625	 20133.823549	 0.878125	 0.126250	 
253.500000	 12807.634415	 0.124375	 21857.332846	 0.868125	 0.128125	 13033.410904	 0.130625	 20337.436509	 0.875625	 0.127500	 
254.000000	 12368.882450	 0.155625	 21740.891814	 0.863125	 0.146250	 12956.510675	 0.130625	 20479.027325	 0.875625	 0.127500	 
254.500000	 12351.138895	 0.061875	 21273.051507	 0.864375	 0.098750	 12874.345770	 0.128125	 20535.309422	 0.873125	 0.127500	 
255.000000	 12762.943729	 0.055625	 20231.515734	 0.836875	 0.109375	 12831.873476	 0.130625	 20472.148384	 0.870625	 0.130000	 
255.500000	 13174.023124	 0.053125	 18939.072499	 0.845625	 0.103750	 12808.870251	 0.125625	 20267.599219	 0.868125	 0.128750	 
256.000000	 13770.518865	 0.068125	 17605.852306	 0.780625	 0.143750	 12808.644892	 0.123125	 19962.935476	 0.870625	 0.126250	 
256.500000	 14498.222551	 0.049375	 16435.198683	 0.915625	 0.066875	 12840.932649	 0.118125	 19654.221737	 0.875625	 0.121250	 
257.000000	 15332.794807	 0.043125	 15654.732209	 0.919375	 0.061875	 12930.817689	 0.113125	 19321.036113	 0.878125	 0.117500	 
257.500000	 16517.465997	 0.041875	 14707.508415	 0.911875	 0.065000	 13096.079418	 0.110625	 18957.318566	 0.880625	 0.115000	 
258.000000	 18113.003572	 0.060625	 13473.372557	 0.913125	 0.073750	 13294.100095	 0.105625	 18602.725901	 0.881875	 0.111875	 
