# Reynolds number time series
# <Re(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
200.000000	 59939.257233	 59939.257233	 35272.298333	 35272.298333	 47200.309004	 47200.309004	 64868.364025	 64868.364025	 42787.877317	 42787.877317	 55838.174423	 55838.174423	 
200.500000	 59479.942131	 59500.767666	 36157.784867	 35547.801200	 48505.817256	 47848.818759	 64046.220667	 64202.984372	 43127.821657	 42837.132989	 56928.875168	 56368.823569	 
201.000000	 58687.120036	 59145.882093	 38498.913923	 36098.668440	 49950.080298	 48548.870039	 63901.420570	 64013.436560	 44042.569869	 42471.488504	 57496.825062	 56743.544934	 
201.500000	 57562.764435	 58734.803896	 40341.471141	 37154.215378	 51594.911725	 49295.237265	 64159.643423	 64038.044583	 46331.799457	 42738.877973	 59229.295962	 57362.112303	 
202.000000	 58511.926205	 58689.485915	 41578.673312	 37992.939185	 53048.000535	 50045.789919	 66143.669423	 64458.949942	 47269.817609	 43530.849393	 62289.467715	 58347.583385	 
202.500000	 59757.635519	 58649.992556	 42321.367128	 38626.604538	 54016.613831	 50576.412526	 68804.173356	 64938.075240	 47987.560387	 44172.287850	 64408.261686	 59295.696589	 
203.000000	 59687.705822	 58463.974127	 43450.214663	 39077.474698	 52025.178156	 50577.463329	 70365.830197	 65109.731335	 49259.869766	 44656.796601	 64903.734071	 59877.957651	 
203.500000	 59641.386824	 58440.502612	 47150.601649	 39552.491866	 50260.869981	 50318.987528	 69385.040078	 65274.800474	 52264.935500	 45142.803921	 62872.991388	 60001.474202	 
204.000000	 58158.946980	 58031.510528	 52193.878040	 40263.961332	 49084.459470	 49985.388349	 67147.534300	 64936.630375	 57372.156410	 45833.344920	 60635.160479	 60053.539072	 
204.500000	 60878.531572	 57498.729735	 54748.313940	 41285.270874	 48541.906303	 49632.323171	 65465.823809	 64314.427751	 60508.891084	 46854.385574	 59507.510187	 59825.105633	 
205.000000	 62884.841263	 57006.738941	 56491.701787	 42331.224088	 46975.838299	 49291.340120	 66753.914580	 64081.220407	 62441.235270	 48057.343627	 55771.036977	 59397.262253	 
205.500000	 61823.569801	 56601.505065	 54353.320748	 43206.865658	 45422.654216	 48953.514900	 66004.746202	 64058.854124	 62269.841083	 49219.865042	 53090.900390	 58871.068215	 
206.000000	 60132.818787	 56210.590860	 54896.116575	 43910.794123	 44000.220407	 48568.582062	 66932.181616	 63903.049595	 65258.793548	 50313.314258	 50996.935281	 58209.677026	 
206.500000	 59962.510582	 55775.274279	 55857.439184	 44681.135884	 42874.085516	 48130.078181	 69180.603315	 63603.765854	 67552.910443	 51454.439653	 49417.588893	 57443.966812	 
207.000000	 61716.923165	 55312.007586	 57812.488818	 45489.027745	 41972.072921	 47635.363682	 72310.706874	 63238.257032	 69766.513682	 52669.164167	 48243.755968	 56578.474502	 
207.500000	 62918.214690	 54945.929564	 58248.914652	 46267.287030	 41459.157803	 47112.292379	 74614.422647	 62794.107926	 71318.113800	 53803.334941	 47424.029165	 55677.548912	 
208.000000	 62836.190415	 54666.892656	 57621.896648	 46906.329376	 41314.492544	 46612.342120	 75107.254564	 62357.305716	 71365.184354	 54751.659251	 47226.687677	 54831.201218	 
208.500000	 62562.983342	 54453.085103	 57621.747667	 47458.905255	 41377.599672	 46163.828786	 74848.463519	 61784.122322	 71045.104001	 55593.672545	 47569.271313	 54129.516933	 
209.000000	 61403.835767	 54200.984538	 54035.156845	 47611.083540	 41450.040289	 45767.909179	 73080.583781	 61058.405429	 66452.006412	 55870.974967	 47928.995423	 53543.363236	 
209.500000	 59118.684791	 54027.880016	 53142.689881	 47397.867257	 41452.161231	 45484.263200	 70536.052965	 60346.276213	 65442.092327	 55742.585535	 48586.190760	 53084.898835	 
210.000000	 57645.945206	 53920.792991	 48791.238620	 47205.799945	 41570.269926	 45197.949227	 67989.210304	 59909.811353	 59421.032209	 55514.985909	 49756.173242	 52602.337999	 
210.500000	 55982.341424	 53791.194761	 42959.371732	 46936.179655	 42529.814932	 44961.795915	 66624.827336	 59759.034810	 54056.907719	 55178.057220	 51567.498212	 52147.450646	 
211.000000	 56610.272413	 53792.774496	 41059.614276	 46537.106536	 43357.296446	 44814.484118	 64693.861613	 59487.852454	 47490.357735	 54677.036382	 54654.282771	 51852.326598	 
211.500000	 57185.136918	 53854.383791	 38800.737393	 46055.168363	 44942.603842	 44710.084733	 64938.887317	 59493.726576	 46514.699999	 54144.280075	 55010.437163	 51727.412017	 
212.000000	 61155.252053	 54037.323359	 38115.152867	 45613.936004	 47136.319871	 44663.143895	 69113.011539	 59354.038348	 46396.725590	 53648.092224	 57108.999539	 51924.148736	 
212.500000	 65152.957485	 54220.352238	 43430.504433	 45217.535956	 50954.054892	 44549.101091	 70534.412443	 59747.152374	 50887.507011	 53174.032110	 64044.833487	 51873.208264	 
213.000000	 68900.388855	 54287.674184	 51181.034794	 44859.973777	 49649.844090	 44449.557124	 74933.791771	 59921.697178	 58932.238780	 52717.950266	 62032.901992	 51723.564462	 
213.500000	 67443.786872	 54417.722421	 48285.074933	 44488.085339	 49370.594021	 44354.013820	 75538.932368	 60059.905476	 58447.355071	 52233.809253	 58819.251207	 51577.519353	 
214.000000	 64510.245510	 54599.482143	 44486.185019	 44138.197582	 49520.563059	 44261.340680	 72733.267239	 60198.328575	 54845.766914	 51764.827876	 57665.261232	 51423.783726	 
214.500000	 63968.664981	 54761.204035	 41289.553437	 43807.322781	 48699.011750	 44214.425436	 72835.847726	 60305.315522	 53745.602206	 51316.534753	 56160.035560	 51330.736442	 
215.000000	 62998.729597	 54840.058826	 41746.387173	 43493.156131	 47666.765440	 44222.053750	 73233.214300	 60334.506515	 53686.303079	 50881.218997	 54610.251372	 51314.074066	 
215.500000	 61614.950998	 54908.115721	 38320.265973	 43204.056931	 47086.611833	 44267.139593	 72585.780889	 60365.648069	 48940.207000	 50478.775448	 55524.558616	 51331.871046	 
