# Buoyancy boundary layer depth time series
# <\delta_b(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 max(var(b)) in [0, H/2]	 z(max(var(b))in [0, H/2])	  max(var(b))in [H/2, H]	 z(max(var(b))in [H/2, H])	 \delta_b[inst.]	  max(<var(b)>)in [0, H/2]	 z(max(<var(b)>)in [0, H/2])	  max(<var(b)>)in [H/2, H]	 z(max(<var(b)>)in [H/2, H])	 \delta_b[av.]	 
200.000000	 0.012915	 0.006875	 0.009419	 0.993125	 0.006875	 0.012915	 0.006875	 0.009419	 0.993125	 0.006875	 
200.500000	 0.014862	 0.005625	 0.011380	 0.993125	 0.006250	 0.013862	 0.005625	 0.010400	 0.993125	 0.006250	 
201.000000	 0.014667	 0.005625	 0.012815	 0.993125	 0.006250	 0.014130	 0.005625	 0.011205	 0.993125	 0.006250	 
201.500000	 0.014413	 0.005625	 0.013219	 0.993125	 0.006250	 0.014201	 0.005625	 0.011708	 0.993125	 0.006250	 
202.000000	 0.014908	 0.005625	 0.013567	 0.993125	 0.006250	 0.014342	 0.005625	 0.012080	 0.993125	 0.006250	 
202.500000	 0.015300	 0.005625	 0.013779	 0.993125	 0.006250	 0.014502	 0.005625	 0.012363	 0.993125	 0.006250	 
203.000000	 0.014857	 0.005625	 0.014242	 0.993125	 0.006250	 0.014553	 0.005625	 0.012632	 0.993125	 0.006250	 
203.500000	 0.014511	 0.005625	 0.014596	 0.993125	 0.006250	 0.014548	 0.005625	 0.012877	 0.993125	 0.006250	 
204.000000	 0.014369	 0.005625	 0.015134	 0.993125	 0.006250	 0.014528	 0.005625	 0.013128	 0.993125	 0.006250	 
204.500000	 0.014579	 0.004375	 0.015426	 0.993125	 0.005625	 0.014512	 0.005625	 0.013358	 0.993125	 0.006250	 
205.000000	 0.016041	 0.004375	 0.015748	 0.993125	 0.005625	 0.014604	 0.005625	 0.013575	 0.993125	 0.006250	 
205.500000	 0.017337	 0.004375	 0.015312	 0.993125	 0.005625	 0.014744	 0.005625	 0.013720	 0.993125	 0.006250	 
206.000000	 0.017116	 0.004375	 0.014546	 0.993125	 0.005625	 0.014803	 0.005625	 0.013783	 0.993125	 0.006250	 
206.500000	 0.017791	 0.004375	 0.014079	 0.993125	 0.005625	 0.014957	 0.004375	 0.013804	 0.993125	 0.005625	 
207.000000	 0.018842	 0.004375	 0.013050	 0.993125	 0.005625	 0.015216	 0.004375	 0.013754	 0.993125	 0.005625	 
207.500000	 0.017858	 0.004375	 0.012605	 0.993125	 0.005625	 0.015381	 0.004375	 0.013682	 0.993125	 0.005625	 
