# Velocity boundary layer depth time series
# <\delta_u(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 max(Re_uxRMS)in [0, H/2]	 z(max(Re_uxRMS)in [0, H/2])	  max(Re_uxRMS)in [H/2, H]	 z(max(Re_uxRMS)in [H/2, H])	 \delta_u[inst.]	  max(<Re_uxRMS>)in [0, H/2]	 z(max(<Re_uxRMS>)in [0, H/2])	  max(<Re_uxRMS>)in [H/2, H]	 z(max(<Re_uxRMS>)in [H/2, H])	 \delta_u[av.]	 
200.000000	 42787.877317	 0.186875	 39782.005000	 0.878125	 0.154375	 42787.877317	 0.186875	 39782.005000	 0.878125	 0.154375	 
200.500000	 43127.821657	 0.169375	 39644.269436	 0.869375	 0.150000	 42837.132989	 0.175625	 39649.819516	 0.873125	 0.151250	 
201.000000	 44042.569869	 0.038125	 42426.355815	 0.538125	 0.250000	 42471.488504	 0.170625	 39436.207820	 0.873125	 0.148750	 
201.500000	 46331.799457	 0.043125	 43197.745348	 0.531875	 0.255625	 42738.877973	 0.039375	 39287.237565	 0.875625	 0.081875	 
202.000000	 47269.817609	 0.048125	 43601.306758	 0.500625	 0.273750	 43530.849393	 0.041875	 39232.344218	 0.878125	 0.081875	 
202.500000	 47987.560387	 0.054375	 40112.874823	 0.910625	 0.071875	 44172.287850	 0.044375	 39207.146942	 0.881875	 0.081250	 
203.000000	 49259.869766	 0.224375	 40789.649514	 0.908125	 0.158125	 44656.796601	 0.046875	 39159.990863	 0.889375	 0.078750	 
203.500000	 52264.935500	 0.108125	 40607.726665	 0.915625	 0.096250	 45142.803921	 0.049375	 39105.709100	 0.894375	 0.077500	 
204.000000	 57372.156410	 0.098125	 40665.908960	 0.924375	 0.086875	 45833.344920	 0.054375	 39045.792112	 0.899375	 0.077500	 
204.500000	 60508.891084	 0.085625	 40863.011249	 0.925625	 0.080000	 46854.385574	 0.059375	 39094.063467	 0.909375	 0.075000	 
205.000000	 62441.235270	 0.085625	 40637.667590	 0.925625	 0.080000	 48057.343627	 0.069375	 39163.574804	 0.909375	 0.080000	 
205.500000	 62269.841083	 0.059375	 39759.726326	 0.916875	 0.071250	 49219.865042	 0.066875	 39196.386944	 0.914375	 0.076250	 
