# Reynolds number time series
# <Re(t)> averaged between 100.000000 and 200.000000 with sampling frequency 1.000000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
100.000000	 1970.485337	 1970.485337	 1593.812035	 1593.812035	 1658.258194	 1658.258194	 2110.118281	 2110.118281	 1924.098305	 1924.098305	 1933.653063	 1933.653063	 
101.000000	 1961.980887	 1960.364844	 1601.344156	 1597.291493	 1680.927730	 1669.496727	 2135.666070	 2120.444717	 1924.271456	 1924.184880	 1946.305302	 1939.770637	 
102.000000	 1972.341501	 1955.691189	 1572.797901	 1589.126962	 1687.337437	 1675.330220	 2121.318504	 2112.532778	 1918.883339	 1922.284524	 1945.334818	 1940.897496	 
103.000000	 1973.600357	 1960.001895	 1551.017374	 1578.383794	 1685.853024	 1677.829820	 2120.189557	 2102.590426	 1906.176063	 1918.257409	 1950.772207	 1943.124615	 
104.000000	 1963.909424	 1960.689765	 1584.406813	 1571.888745	 1695.699461	 1681.387414	 2094.340069	 2097.366388	 1893.700668	 1912.820172	 1942.833812	 1943.066455	 
105.000000	 1936.447792	 1956.348880	 1604.727815	 1571.930109	 1697.887207	 1683.918459	 2084.194286	 2095.156991	 1937.820241	 1905.926919	 1942.328162	 1942.911486	 
106.000000	 1932.743170	 1949.330603	 1613.089848	 1573.496185	 1694.244517	 1684.767642	 2068.393521	 2090.752954	 1958.150519	 1903.061787	 1943.570456	 1942.711235	 
107.000000	 1939.689057	 1939.488703	 1593.411923	 1573.672886	 1695.860915	 1684.539224	 2081.075031	 2085.059206	 1941.719535	 1902.233896	 1936.468346	 1941.038103	 
108.000000	 1956.876614	 1929.892870	 1563.675187	 1569.156730	 1706.551932	 1684.617703	 2085.134661	 2079.960529	 1900.418891	 1901.680804	 1942.582685	 1938.877544	 
109.000000	 2011.437993	 1923.199509	 1570.562327	 1566.133220	 1722.473095	 1685.752518	 2128.054758	 2077.154763	 1900.055184	 1901.289570	 1952.647382	 1937.834134	 
110.000000	 2057.881907	 1920.929008	 1587.444643	 1567.447466	 1734.747689	 1687.712747	 2166.194757	 2077.165269	 1926.873797	 1903.019010	 1961.806478	 1938.087610	 
111.000000	 2060.758082	 1920.883838	 1612.739516	 1571.189926	 1740.554591	 1690.233780	 2174.105770	 2078.930968	 1947.462194	 1906.500003	 1970.132283	 1939.349164	 
112.000000	 2049.435688	 1927.695353	 1654.527467	 1577.600506	 1736.460723	 1692.478681	 2169.215621	 2079.986834	 1976.807840	 1911.731147	 1974.591019	 1941.051979	 
113.000000	 2044.653414	 1934.024076	 1680.109736	 1584.922594	 1725.854161	 1694.053473	 2160.605363	 2078.983895	 2006.924094	 1918.530644	 1972.865742	 1942.804171	 
114.000000	 2039.977353	 1937.772418	 1706.159538	 1592.908522	 1721.689997	 1695.608928	 2183.989473	 2076.330710	 2034.490086	 1926.261273	 1969.070695	 1944.398088	 
115.000000	 2032.049929	 1939.492933	 1718.628694	 1600.598469	 1724.967651	 1697.381221	 2203.143977	 2072.699403	 2054.350476	 1934.266848	 1961.884870	 1945.441224	 
116.000000	 2009.934578	 1940.108268	 1711.062707	 1606.602819	 1727.530632	 1699.149482	 2204.540380	 2069.531097	 2060.164091	 1941.593980	 1951.678305	 1945.795231	 
117.000000	 1983.578436	 1940.554187	 1683.343341	 1609.898048	 1730.456513	 1700.888762	 2165.082216	 2072.473920	 2062.056896	 1947.720014	 1947.171987	 1945.871717	 
118.000000	 1978.883311	 1939.616742	 1660.149175	 1611.477954	 1734.258744	 1702.599090	 2132.060143	 2073.943995	 2051.116637	 1952.603204	 1954.102614	 1946.191239	 
119.000000	 2018.375082	 1938.452692	 1641.469656	 1612.400518	 1739.249294	 1704.162780	 2129.083619	 2073.646771	 2020.260630	 1955.332174	 1964.758848	 1946.785638	 
120.000000	 2025.537194	 1936.562259	 1637.479023	 1612.595427	 1743.743613	 1705.553325	 2135.826239	 2071.813194	 1982.126168	 1955.895291	 1983.048241	 1948.100016	 
121.000000	 2029.911625	 1934.398753	 1679.091065	 1611.331970	 1742.219801	 1706.551131	 2122.345745	 2068.679874	 1960.963480	 1955.052856	 1996.707626	 1949.977804	 
122.000000	 2045.323957	 1936.211835	 1686.789153	 1609.165662	 1734.094356	 1707.349128	 2130.877083	 2068.642928	 1976.707001	 1953.035918	 2004.105014	 1952.069149	 
123.000000	 2037.564813	 1940.249335	 1638.115720	 1605.944259	 1733.331244	 1708.167591	 2128.663693	 2070.961609	 1921.226152	 1950.131056	 1996.256403	 1953.675717	 
124.000000	 2051.122854	 1944.383457	 1627.059515	 1604.052576	 1726.931638	 1708.830409	 2133.216259	 2072.950929	 1897.401390	 1947.133131	 1990.050622	 1954.972318	 
125.000000	 2056.675471	 1948.698817	 1627.170367	 1604.739440	 1717.229807	 1709.153462	 2136.794672	 2074.528639	 1907.987906	 1945.621660	 1992.898678	 1956.414246	 
126.000000	 2043.421129	 1952.207051	 1667.926707	 1606.997616	 1707.389944	 1708.997678	 2119.983517	 2075.533109	 1962.716494	 1946.193214	 1987.696850	 1957.516007	 
127.000000	 2038.120706	 1954.179103	 1712.572689	 1610.513964	 1698.329670	 1708.372482	 2134.412284	 2076.302391	 2011.045610	 1948.195107	 1970.817159	 1957.908824	 
128.000000	 2102.543725	 1954.842764	 1782.939470	 1615.363377	 1690.694768	 1707.428829	 2229.189070	 2076.728319	 2058.240968	 1951.118853	 1957.462072	 1957.803495	 
129.000000	 2109.732361	 1954.845749	 1818.593058	 1621.547246	 1685.740959	 1706.382029	 2262.136988	 2076.618302	 2117.672419	 1955.768167	 1947.811472	 1957.385499	 
130.000000	 2099.076899	 1954.025983	 1809.204499	 1627.577453	 1682.103028	 1705.289636	 2256.544481	 2077.736062	 2150.784294	 1962.031703	 1944.226073	 1956.669396	 
131.000000	 2095.887206	 1954.057063	 1806.192190	 1633.127976	 1677.185097	 1704.017421	 2256.418212	 2082.838863	 2171.717143	 1968.516366	 1935.958512	 1955.787740	 
132.000000	 2075.804537	 1957.472999	 1794.843661	 1638.005962	 1672.318115	 1702.663486	 2251.002447	 2087.456567	 2172.339417	 1974.418440	 1925.385809	 1954.737637	 
133.000000	 2076.544501	 1960.615956	 1743.991478	 1640.454953	 1667.873421	 1701.227098	 2236.627010	 2091.746621	 2153.226591	 1978.778406	 1920.694840	 1953.685947	 
134.000000	 2067.990650	 1963.598560	 1752.712075	 1641.123887	 1672.680727	 1700.147173	 2233.506561	 2095.389105	 2099.236792	 1981.118089	 1926.485889	 1952.839811	 
135.000000	 2077.565111	 1966.246119	 1781.528128	 1640.548401	 1679.220729	 1699.423413	 2201.168807	 2097.865966	 2084.548289	 1981.743556	 1932.292670	 1952.125393	 
136.000000	 2096.830604	 1969.223188	 1798.501311	 1639.049854	 1681.622845	 1698.863251	 2211.746141	 2098.850380	 2111.711869	 1981.013596	 1937.997482	 1951.606686	 
137.000000	 2084.584698	 1972.047862	 1777.678284	 1637.810829	 1678.930403	 1698.319162	 2198.503793	 2099.117259	 2117.941977	 1979.410372	 1937.963402	 1951.172909	 
138.000000	 2055.000152	 1973.873234	 1772.352331	 1637.207202	 1674.764423	 1697.715194	 2169.497900	 2099.104315	 2102.699195	 1977.376077	 1941.982814	 1950.910137	 
139.000000	 2043.725708	 1974.782762	 1801.476002	 1636.631573	 1673.936543	 1697.092939	 2197.592024	 2098.589693	 2126.632117	 1974.797318	 1953.583031	 1950.969375	 
140.000000	 2067.790528	 1974.531607	 1819.664126	 1636.189464	 1675.820775	 1696.470244	 2248.223597	 2097.755936	 2177.109557	 1971.888862	 1949.606959	 1950.821162	 
141.000000	 2112.293996	 1973.738553	 1834.569183	 1636.024972	 1676.770553	 1695.793092	 2273.600913	 2096.064892	 2194.739810	 1969.371388	 1926.272025	 1950.077859	 
142.000000	 2149.594460	 1972.778192	 1833.353581	 1636.162837	 1677.909802	 1695.082954	 2290.093664	 2093.581812	 2216.364922	 1967.860770	 1907.143506	 1948.924618	 
143.000000	 2154.171801	 1971.790422	 1837.312723	 1637.113660	 1679.389755	 1694.376720	 2301.607767	 2091.281612	 2238.280140	 1967.204849	 1903.417354	 1947.697785	 
144.000000	 2128.941238	 1970.171913	 1850.154717	 1641.722138	 1681.410097	 1693.700086	 2296.844393	 2089.629955	 2232.576233	 1966.694667	 1903.354476	 1946.491752	 
145.000000	 2142.846912	 1968.307223	 1851.869365	 1646.273904	 1683.280170	 1693.076455	 2289.785575	 2087.920805	 2189.812459	 1966.280765	 1903.235706	 1945.354266	 
