# Buoyancy boundary layer depth time series
# <\delta_b(t)> averaged between 100.000000 and 200.000000 with sampling frequency 1.000000
# time		 max(var(b)) in [0, H/2]	 z(max(var(b))in [0, H/2])	  max(var(b))in [H/2, H]	 z(max(var(b))in [H/2, H])	 \delta_b[inst.]	  max(<var(b)>)in [0, H/2]	 z(max(<var(b)>)in [0, H/2])	  max(<var(b)>)in [H/2, H]	 z(max(<var(b)>)in [H/2, H])	 \delta_b[av.]	 
100.000000	 0.021616	 0.032500	 0.023730	 0.967500	 0.032500	 0.021616	 0.032500	 0.023730	 0.967500	 0.032500	 
101.000000	 0.024034	 0.032500	 0.022930	 0.967500	 0.032500	 0.022825	 0.032500	 0.023330	 0.967500	 0.032500	 
102.000000	 0.025042	 0.032500	 0.021537	 0.972500	 0.030000	 0.023564	 0.032500	 0.022721	 0.967500	 0.032500	 
103.000000	 0.024080	 0.027500	 0.020762	 0.972500	 0.027500	 0.023659	 0.032500	 0.022166	 0.967500	 0.032500	 
104.000000	 0.023540	 0.027500	 0.020903	 0.972500	 0.027500	 0.023575	 0.032500	 0.021863	 0.967500	 0.032500	 
105.000000	 0.022483	 0.027500	 0.022822	 0.972500	 0.027500	 0.023323	 0.032500	 0.021983	 0.967500	 0.032500	 
106.000000	 0.021138	 0.027500	 0.024178	 0.972500	 0.027500	 0.022936	 0.032500	 0.022289	 0.972500	 0.030000	 
107.000000	 0.020432	 0.027500	 0.024288	 0.972500	 0.027500	 0.022613	 0.032500	 0.022539	 0.972500	 0.030000	 
108.000000	 0.022404	 0.032500	 0.025181	 0.967500	 0.032500	 0.022590	 0.032500	 0.022829	 0.972500	 0.030000	 
109.000000	 0.024595	 0.027500	 0.026231	 0.972500	 0.027500	 0.022780	 0.032500	 0.023169	 0.972500	 0.030000	 
110.000000	 0.025990	 0.027500	 0.025561	 0.972500	 0.027500	 0.023044	 0.027500	 0.023387	 0.972500	 0.027500	 
111.000000	 0.025535	 0.027500	 0.024713	 0.967500	 0.030000	 0.023251	 0.027500	 0.023487	 0.972500	 0.027500	 
112.000000	 0.025470	 0.027500	 0.024491	 0.967500	 0.030000	 0.023422	 0.027500	 0.023541	 0.972500	 0.027500	 
113.000000	 0.027822	 0.027500	 0.023407	 0.972500	 0.027500	 0.023736	 0.027500	 0.023532	 0.972500	 0.027500	 
114.000000	 0.029747	 0.027500	 0.021563	 0.972500	 0.027500	 0.024137	 0.027500	 0.023400	 0.972500	 0.027500	 
115.000000	 0.029987	 0.027500	 0.021524	 0.972500	 0.027500	 0.024503	 0.027500	 0.023283	 0.972500	 0.027500	 
116.000000	 0.029112	 0.027500	 0.022915	 0.967500	 0.030000	 0.024774	 0.027500	 0.023257	 0.972500	 0.027500	 
117.000000	 0.029905	 0.027500	 0.025119	 0.972500	 0.027500	 0.025059	 0.027500	 0.023361	 0.972500	 0.027500	 
118.000000	 0.029917	 0.027500	 0.024039	 0.972500	 0.027500	 0.025315	 0.027500	 0.023396	 0.972500	 0.027500	 
119.000000	 0.027984	 0.027500	 0.021866	 0.972500	 0.027500	 0.025448	 0.027500	 0.023320	 0.972500	 0.027500	 
120.000000	 0.026084	 0.027500	 0.025212	 0.967500	 0.030000	 0.025478	 0.027500	 0.023381	 0.972500	 0.027500	 
121.000000	 0.024683	 0.027500	 0.027029	 0.972500	 0.027500	 0.025442	 0.027500	 0.023547	 0.972500	 0.027500	 
122.000000	 0.025374	 0.027500	 0.026830	 0.972500	 0.027500	 0.025439	 0.027500	 0.023690	 0.972500	 0.027500	 
123.000000	 0.027005	 0.027500	 0.026580	 0.967500	 0.030000	 0.025505	 0.027500	 0.023807	 0.972500	 0.027500	 
124.000000	 0.028205	 0.027500	 0.027549	 0.967500	 0.030000	 0.025613	 0.027500	 0.023956	 0.972500	 0.027500	 
125.000000	 0.027629	 0.027500	 0.027567	 0.972500	 0.027500	 0.025690	 0.027500	 0.024095	 0.972500	 0.027500	 
126.000000	 0.026661	 0.027500	 0.025397	 0.972500	 0.027500	 0.025726	 0.027500	 0.024143	 0.972500	 0.027500	 
127.000000	 0.025056	 0.027500	 0.024233	 0.972500	 0.027500	 0.025702	 0.027500	 0.024146	 0.972500	 0.027500	 
128.000000	 0.022974	 0.027500	 0.024349	 0.967500	 0.030000	 0.025608	 0.027500	 0.024151	 0.972500	 0.027500	 
129.000000	 0.023179	 0.027500	 0.025587	 0.967500	 0.030000	 0.025527	 0.027500	 0.024175	 0.972500	 0.027500	 
130.000000	 0.024708	 0.027500	 0.026410	 0.967500	 0.030000	 0.025501	 0.027500	 0.024241	 0.972500	 0.027500	 
131.000000	 0.025791	 0.027500	 0.027156	 0.972500	 0.027500	 0.025510	 0.027500	 0.024332	 0.972500	 0.027500	 
