# Velocity boundary layer depth time series
# <\delta_u(t)> averaged between 100.000000 and 200.000000 with sampling frequency 1.000000
# time		 max(Re_uxRMS)in [0, H/2]	 z(max(Re_uxRMS)in [0, H/2])	  max(Re_uxRMS)in [H/2, H]	 z(max(Re_uxRMS)in [H/2, H])	 \delta_u[inst.]	  max(<Re_uxRMS>)in [0, H/2]	 z(max(<Re_uxRMS>)in [0, H/2])	  max(<Re_uxRMS>)in [H/2, H]	 z(max(<Re_uxRMS>)in [H/2, H])	 \delta_u[av.]	 
100.000000	 1924.098305	 0.067500	 1734.098925	 0.902500	 0.082500	 1924.098305	 0.067500	 1734.098925	 0.902500	 0.082500	 
101.000000	 1924.271456	 0.067500	 1772.352566	 0.852500	 0.107500	 1924.184880	 0.067500	 1743.763128	 0.857500	 0.105000	 
102.000000	 1918.883339	 0.062500	 1796.636934	 0.862500	 0.100000	 1922.284524	 0.067500	 1761.344956	 0.862500	 0.102500	 
103.000000	 1906.176063	 0.067500	 1830.291778	 0.882500	 0.092500	 1918.257409	 0.067500	 1776.796893	 0.872500	 0.097500	 
104.000000	 1893.700668	 0.072500	 1890.933351	 0.902500	 0.085000	 1912.820172	 0.067500	 1794.833602	 0.887500	 0.090000	 
105.000000	 1893.368571	 0.092500	 1937.820241	 0.922500	 0.085000	 1905.926919	 0.067500	 1810.161311	 0.897500	 0.085000	 
106.000000	 1903.834352	 0.092500	 1958.150519	 0.932500	 0.080000	 1903.061787	 0.072500	 1821.838935	 0.907500	 0.082500	 
107.000000	 1912.124389	 0.087500	 1941.719535	 0.942500	 0.072500	 1902.233896	 0.072500	 1829.089318	 0.917500	 0.077500	 
108.000000	 1900.418891	 0.082500	 1895.725057	 0.947500	 0.067500	 1901.680804	 0.072500	 1832.632106	 0.917500	 0.077500	 
109.000000	 1900.055184	 0.082500	 1866.644397	 0.932500	 0.075000	 1901.289570	 0.077500	 1835.528167	 0.922500	 0.077500	 
110.000000	 1926.873797	 0.087500	 1856.788057	 0.922500	 0.082500	 1903.019010	 0.077500	 1837.460885	 0.922500	 0.077500	 
111.000000	 1947.462194	 0.082500	 1850.979270	 0.917500	 0.082500	 1906.500003	 0.077500	 1838.352966	 0.922500	 0.077500	 
112.000000	 1976.807840	 0.082500	 1838.010143	 0.917500	 0.082500	 1911.731147	 0.077500	 1838.302768	 0.917500	 0.080000	 
113.000000	 2006.924094	 0.077500	 1808.204566	 0.927500	 0.075000	 1918.530644	 0.077500	 1836.028756	 0.922500	 0.077500	 
114.000000	 2034.490086	 0.077500	 1812.870366	 0.917500	 0.080000	 1926.261273	 0.077500	 1834.427010	 0.922500	 0.077500	 
115.000000	 2054.350476	 0.077500	 1866.146557	 0.922500	 0.077500	 1934.266848	 0.077500	 1836.409481	 0.922500	 0.077500	 
116.000000	 2060.164091	 0.072500	 1914.024115	 0.917500	 0.077500	 1941.593980	 0.077500	 1840.894630	 0.922500	 0.077500	 
117.000000	 2062.056896	 0.062500	 1964.866484	 0.912500	 0.075000	 1947.720014	 0.077500	 1847.550653	 0.917500	 0.080000	 
118.000000	 2051.116637	 0.062500	 1980.092820	 0.917500	 0.072500	 1952.603204	 0.077500	 1854.526557	 0.917500	 0.080000	 
119.000000	 2020.260630	 0.062500	 1956.680522	 0.927500	 0.067500	 1955.332174	 0.077500	 1859.412293	 0.917500	 0.080000	 
120.000000	 1982.126168	 0.062500	 1945.232861	 0.927500	 0.067500	 1955.895291	 0.072500	 1863.422201	 0.922500	 0.075000	 
121.000000	 1952.785503	 0.057500	 1960.963480	 0.912500	 0.072500	 1955.052856	 0.072500	 1867.780269	 0.922500	 0.075000	 
122.000000	 1934.845216	 0.057500	 1976.707001	 0.917500	 0.070000	 1953.035918	 0.072500	 1872.488060	 0.917500	 0.077500	 
123.000000	 1921.226152	 0.052500	 1921.165224	 0.927500	 0.062500	 1950.131056	 0.072500	 1874.480690	 0.922500	 0.075000	 
124.000000	 1897.401390	 0.052500	 1875.144716	 0.922500	 0.065000	 1947.133131	 0.072500	 1874.507251	 0.922500	 0.075000	 
125.000000	 1907.987906	 0.067500	 1886.005775	 0.897500	 0.085000	 1945.621660	 0.072500	 1874.561927	 0.917500	 0.077500	 
126.000000	 1962.716494	 0.077500	 1909.432689	 0.902500	 0.087500	 1946.193214	 0.072500	 1875.544359	 0.917500	 0.077500	 
127.000000	 2011.045610	 0.082500	 1914.899334	 0.902500	 0.090000	 1948.195107	 0.072500	 1876.671465	 0.917500	 0.077500	 
128.000000	 2058.240968	 0.097500	 1917.162571	 0.912500	 0.092500	 1951.118853	 0.072500	 1877.988223	 0.917500	 0.077500	 
129.000000	 2117.672419	 0.092500	 1910.780417	 0.917500	 0.087500	 1955.768167	 0.072500	 1879.081296	 0.917500	 0.077500	 
130.000000	 2150.784294	 0.077500	 1914.131262	 0.917500	 0.080000	 1962.031703	 0.072500	 1880.211940	 0.917500	 0.077500	 
131.000000	 2171.717143	 0.067500	 1939.475678	 0.922500	 0.072500	 1968.516366	 0.072500	 1882.043166	 0.917500	 0.077500	 
132.000000	 2172.339417	 0.062500	 1985.744952	 0.927500	 0.067500	 1974.418440	 0.072500	 1885.075667	 0.917500	 0.077500	 
133.000000	 2153.226591	 0.052500	 2026.519353	 0.927500	 0.062500	 1978.778406	 0.072500	 1889.003306	 0.917500	 0.077500	 
134.000000	 2099.236792	 0.052500	 2058.930683	 0.927500	 0.062500	 1981.118089	 0.072500	 1893.628171	 0.917500	 0.077500	 
135.000000	 2040.244531	 0.047500	 2084.548289	 0.927500	 0.060000	 1981.743556	 0.072500	 1898.720695	 0.917500	 0.077500	 
136.000000	 1990.237349	 0.052500	 2111.711869	 0.927500	 0.062500	 1981.013596	 0.072500	 1904.303672	 0.922500	 0.075000	 
137.000000	 1934.354668	 0.057500	 2117.941977	 0.937500	 0.060000	 1979.410372	 0.072500	 1909.538878	 0.922500	 0.075000	 
138.000000	 1901.463725	 0.067500	 2102.699195	 0.937500	 0.065000	 1977.376077	 0.072500	 1914.141167	 0.922500	 0.075000	 
139.000000	 1877.187729	 0.092500	 2126.632117	 0.932500	 0.080000	 1974.797318	 0.072500	 1919.258020	 0.922500	 0.075000	 
140.000000	 1874.303023	 0.112500	 2177.109557	 0.932500	 0.090000	 1971.888862	 0.072500	 1925.417508	 0.922500	 0.075000	 
141.000000	 1876.510947	 0.097500	 2194.739810	 0.932500	 0.082500	 1969.371388	 0.072500	 1931.733709	 0.922500	 0.075000	 
142.000000	 1906.516384	 0.077500	 2216.364922	 0.932500	 0.072500	 1967.860770	 0.072500	 1938.203699	 0.922500	 0.075000	 
143.000000	 1939.000239	 0.072500	 2238.280140	 0.937500	 0.067500	 1967.204849	 0.072500	 1944.527887	 0.922500	 0.075000	 
144.000000	 1946.596144	 0.067500	 2232.576233	 0.937500	 0.065000	 1966.694667	 0.072500	 1950.421844	 0.922500	 0.075000	 
145.000000	 1948.995097	 0.067500	 2189.812459	 0.937500	 0.065000	 1966.280765	 0.072500	 1955.445217	 0.922500	 0.075000	 
146.000000	 1968.203533	 0.067500	 2149.198706	 0.927500	 0.070000	 1966.259114	 0.072500	 1959.564185	 0.922500	 0.075000	 
147.000000	 1979.389420	 0.067500	 2102.570860	 0.932500	 0.067500	 1966.470107	 0.072500	 1962.502088	 0.922500	 0.075000	 
148.000000	 1977.118167	 0.072500	 2049.376908	 0.937500	 0.067500	 1966.687414	 0.072500	 1964.218283	 0.922500	 0.075000	 
149.000000	 2001.655178	 0.087500	 2036.665020	 0.897500	 0.095000	 1967.139510	 0.072500	 1965.464892	 0.922500	 0.075000	 
150.000000	 2057.345872	 0.092500	 2036.395144	 0.897500	 0.097500	 1968.386903	 0.072500	 1966.557394	 0.922500	 0.075000	 
151.000000	 2094.473579	 0.092500	 2027.223446	 0.912500	 0.090000	 1970.356451	 0.072500	 1967.670343	 0.922500	 0.075000	 
152.000000	 2103.735790	 0.092500	 2042.212159	 0.927500	 0.082500	 1972.705982	 0.072500	 1969.048748	 0.922500	 0.075000	 
153.000000	 2153.828953	 0.082500	 2051.721137	 0.937500	 0.072500	 1975.909443	 0.072500	 1970.293373	 0.922500	 0.075000	 
154.000000	 2184.462680	 0.082500	 2037.366473	 0.942500	 0.070000	 1979.631847	 0.072500	 1971.201891	 0.922500	 0.075000	 
155.000000	 2211.028206	 0.087500	 2031.667966	 0.942500	 0.072500	 1983.479228	 0.072500	 1971.932877	 0.922500	 0.075000	 
