# Reynolds number time series
# <Re(t)> averaged between 0.000000 and 2050.000000 with sampling frequency 2.000000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 
2.000000	 0.196933	 0.098467	 0.144358	 0.072179	 0.192336	 0.096168	 0.208207	 0.104104	 0.156255	 0.078128	 0.208183	 0.104091	 
4.000000	 0.392374	 0.196436	 0.292886	 0.145673	 0.382987	 0.191774	 0.414587	 0.207598	 0.317040	 0.157683	 0.414538	 0.207574	 
6.000000	 0.596076	 0.296338	 0.450750	 0.221909	 0.581683	 0.289252	 0.629669	 0.313116	 0.487965	 0.240217	 0.629595	 0.313079	 
8.000000	 0.816832	 0.400437	 0.624252	 0.302206	 0.797092	 0.390820	 0.862832	 0.423059	 0.675866	 0.327162	 0.862732	 0.423010	 
10.000000	 1.063602	 0.510964	 0.819304	 0.388272	 1.037999	 0.498683	 1.123582	 0.539813	 0.887183	 0.420370	 1.123452	 0.539750	 
12.000000	 1.345977	 0.630252	 1.043645	 0.481507	 1.313782	 0.615126	 1.422061	 0.665848	 1.130312	 0.521371	 1.421899	 0.665771	 
14.000000	 1.674561	 0.760790	 1.304385	 0.584367	 1.634798	 0.742585	 1.769472	 0.803801	 1.413011	 0.632826	 1.769271	 0.803709	 
16.000000	 2.061344	 0.905296	 1.611685	 0.698394	 2.012752	 0.883714	 2.178469	 0.956542	 1.746409	 0.756422	 2.178224	 0.956433	 
18.000000	 2.520084	 1.066775	 1.976106	 0.825841	 2.461072	 1.041450	 2.663566	 1.127245	 2.141978	 0.894617	 2.663268	 1.127116	 
20.000000	 3.066696	 1.248586	 2.409239	 0.969248	 2.995288	 1.219072	 3.241540	 1.319453	 2.612469	 1.050188	 3.241180	 1.319304	 
22.000000	 3.719657	 1.454509	 2.925221	 1.132171	 3.633422	 1.420268	 3.931851	 1.537153	 3.173436	 1.227076	 3.931416	 1.536980	 
24.000000	 4.500435	 1.688807	 3.540351	 1.317416	 4.396365	 1.649198	 4.757042	 1.784837	 3.842890	 1.428292	 4.756516	 1.784636	 
26.000000	 5.433746	 1.956293	 4.273271	 1.528548	 5.308211	 1.910556	 5.743090	 2.067569	 4.641544	 1.657810	 5.742454	 2.067338	 
28.000000	 6.547791	 2.262378	 5.145056	 1.769649	 6.396495	 2.209619	 6.919651	 2.391041	 5.592986	 1.920155	 6.918883	 2.390774	 
30.000000	 7.874415	 2.613113	 6.179127	 2.045241	 7.692252	 2.552283	 8.320098	 2.761607	 6.723688	 2.220376	 8.319169	 2.761299	 
32.000000	 9.448785	 3.015197	 7.400886	 2.360279	 9.229740	 2.945075	 9.981194	 3.186289	 8.064104	 2.564046	 9.980071	 3.185932	 
34.000000	 11.308569	 3.475932	 8.838436	 2.720093	 11.045645	 3.395107	 11.942195	 3.672728	 9.645124	 2.957225	 11.940837	 3.672316	 
36.000000	 13.492379	 4.003113	 10.517112	 3.130276	 13.177482	 3.909968	 14.243047	 4.229061	 11.498175	 3.406373	 14.241409	 4.228584	 
38.000000	 16.036950	 4.604805	 12.460662	 3.596493	 15.660815	 4.497511	 16.921316	 4.863673	 13.653855	 3.918172	 16.919346	 4.863122	 
40.000000	 18.972174	 5.288965	 14.686906	 4.124176	 18.524912	 5.165482	 20.007372	 5.584802	 16.138083	 4.499251	 20.005021	 5.584165	 
42.000000	 22.315119	 6.062881	 17.202788	 4.718086	 21.786485	 5.920982	 23.517507	 6.399925	 18.967439	 5.156192	 23.514733	 6.399191	 
44.000000	 26.061486	 6.932386	 19.998203	 5.381722	 25.441512	 6.769701	 27.444967	 7.314927	 22.143089	 5.894753	 27.441743	 7.314084	 
46.000000	 30.176098	 7.900874	 23.038987	 6.117207	 29.455889	 7.714959	 31.749770	 8.333045	 25.643744	 6.717627	 31.746072	 8.332084	 
48.000000	 34.584480	 8.968218	 26.260397	 6.922934	 33.756877	 8.756636	 36.349543	 9.453705	 29.418885	 7.625678	 36.345252	 9.452611	 
50.000000	 39.169184	 10.129794	 29.563466	 7.793724	 38.228795	 9.890180	 41.115230	 10.671456	 33.384561	 8.616404	 41.109838	 10.670196	 
52.000000	 43.775247	 11.375922	 32.817389	 8.720526	 42.717107	 11.105992	 45.876324	 11.975340	 37.424907	 9.683385	 45.868271	 11.973829	 
54.000000	 48.227346	 12.692044	 35.870675	 9.690174	 47.043683	 12.389481	 50.438551	 13.349026	 41.402219	 10.816201	 50.424099	 13.347053	 
56.000000	 52.356486	 14.059783	 38.571196	 10.686072	 51.031728	 13.721972	 54.612011	 14.771888	 45.175859	 12.001017	 54.583865	 14.769012	 
58.000000	 56.028283	 15.458733	 40.790880	 11.689565	 54.533590	 15.082360	 58.241710	 16.220882	 48.625730	 13.221840	 58.188042	 16.216313	 
60.000000	 59.163817	 16.868575	 42.460972	 12.681758	 57.453199	 16.449161	 61.230998	 17.672821	 51.677462	 14.462195	 61.135755	 17.665327	 
62.000000	 61.754395	 18.270972	 43.548875	 13.645316	 59.755010	 17.802469	 63.549257	 19.106460	 54.341431	 15.706759	 63.394320	 19.094358	 
64.000000	 63.834182	 19.650847	 44.079556	 14.565852	 61.458879	 19.125390	 65.224076	 20.503963	 56.606960	 16.942551	 64.992957	 20.485225	 
66.000000	 65.488934	 20.997643	 44.120858	 15.434334	 62.625952	 20.404819	 66.324600	 21.851626	 58.519909	 18.159472	 66.006409	 21.824083	 
68.000000	 66.819270	 22.304916	 45.197091	 16.277494	 63.342471	 21.631609	 67.092715	 23.139964	 60.137973	 19.350274	 66.536226	 23.101573	 
70.000000	 67.937193	 23.567592	 46.545617	 17.111918	 63.704081	 22.800288	 67.945903	 24.363342	 61.604927	 20.516362	 66.692879	 24.312442	 
72.000000	 68.941033	 24.783984	 48.737756	 17.929636	 63.804471	 23.908510	 69.121592	 25.519383	 62.900017	 21.656680	 66.582921	 25.454888	 
74.000000	 69.904882	 25.958903	 51.508189	 18.725645	 63.728230	 24.956397	 70.368125	 26.608298	 64.066113	 22.764363	 66.301115	 26.529788	 
76.000000	 70.873675	 27.091630	 54.093604	 19.508320	 63.547155	 25.945904	 71.581433	 27.632240	 65.209935	 23.838876	 65.926595	 27.539963	 
78.000000	 71.863364	 28.187392	 56.499910	 20.333287	 63.318969	 26.880230	 72.742093	 28.597363	 66.262002	 24.880351	 65.521813	 28.489509	 
80.000000	 72.864965	 29.248951	 58.690071	 21.180244	 63.087557	 27.763336	 73.853403	 29.533570	 67.301263	 25.889379	 65.133212	 29.383258	 
82.000000	 73.868196	 30.280629	 60.669985	 22.040246	 62.884085	 28.599544	 74.919919	 30.461306	 68.302233	 26.868226	 64.792835	 30.226343	 
84.000000	 74.857070	 31.283811	 62.450033	 22.913900	 62.728579	 29.393243	 75.932548	 31.391469	 69.241970	 27.835262	 64.520370	 31.023879	 
86.000000	 75.808821	 32.263083	 64.043032	 23.791279	 62.631710	 30.148662	 76.888965	 32.328955	 70.190964	 28.774236	 64.325337	 31.780730	 
88.000000	 76.700890	 33.217529	 65.462672	 24.657878	 62.596635	 30.869728	 77.786516	 33.271393	 71.073030	 29.686044	 64.209245	 32.501364	 
90.000000	 77.555689	 34.150259	 66.722464	 25.533216	 62.620777	 31.559969	 78.622608	 34.210847	 71.888923	 30.571545	 64.167617	 33.189761	 
92.000000	 78.343517	 35.061797	 67.839208	 26.397021	 62.697352	 32.222466	 79.394866	 35.140483	 72.653086	 31.431522	 64.191676	 33.849376	 
94.000000	 79.059459	 35.948112	 68.821813	 27.244122	 62.816742	 32.859847	 80.101219	 36.053996	 73.376580	 32.270272	 64.269831	 34.483135	 
96.000000	 79.703410	 36.819413	 69.677683	 28.080643	 62.968431	 33.474308	 80.740533	 36.948577	 74.027492	 33.100491	 64.389724	 35.093474	 
98.000000	 80.276362	 37.666093	 70.417386	 28.909057	 63.141774	 34.067657	 81.312582	 37.823811	 74.606651	 33.907037	 64.539032	 35.682385	 
100.000000	 80.780349	 38.488557	 71.050902	 29.717122	 63.326805	 34.641366	 81.818159	 38.676517	 75.115513	 34.690212	 64.706292	 36.251481	 
102.000000	 81.218385	 39.294195	 71.587804	 30.504205	 63.514812	 35.196624	 82.259133	 39.504795	 75.556311	 35.450289	 64.881499	 36.802058	 
104.000000	 81.594370	 40.078241	 72.037373	 31.269864	 63.698692	 35.734399	 82.638415	 40.313810	 75.932122	 36.187535	 65.056450	 37.335160	 
106.000000	 81.912956	 40.839055	 72.408665	 32.013834	 63.873084	 36.255486	 82.959861	 41.099597	 76.246852	 36.902228	 65.224880	 37.851636	 
108.000000	 82.179370	 41.577087	 72.710512	 32.736013	 64.034349	 36.760556	 83.228106	 41.861813	 76.505142	 37.594680	 65.382415	 38.352196	 
110.000000	 82.399204	 42.292834	 72.951469	 33.441680	 64.180405	 37.250196	 83.448348	 42.600911	 76.712211	 38.279144	 65.526397	 38.837450	 
112.000000	 82.578200	 42.991144	 73.139729	 34.131733	 64.310487	 37.724938	 83.626111	 43.317406	 76.873658	 38.942692	 65.655616	 39.307944	 
114.000000	 82.721973	 43.670143	 73.282981	 34.800237	 64.424764	 38.185280	 83.766944	 44.011865	 76.995194	 39.584983	 65.769904	 39.764184	 
116.000000	 82.835927	 44.328303	 73.388373	 35.447612	 64.524195	 38.631702	 83.876301	 44.684906	 77.082513	 40.206534	 65.869973	 40.206655	 
118.000000	 82.925113	 44.966283	 73.462450	 36.074366	 64.610264	 39.064678	 83.960584	 45.337385	 77.152006	 40.807913	 65.957130	 40.635830	 
120.000000	 82.994099	 45.584765	 73.511075	 36.681072	 64.684685	 39.484679	 84.031579	 45.971716	 77.199237	 41.389735	 66.032962	 41.052176	 
122.000000	 83.046897	 46.184444	 73.539399	 37.268354	 64.749210	 39.892171	 84.085631	 46.586456	 77.227498	 41.952650	 66.099125	 41.456160	 
124.000000	 83.086941	 46.766022	 73.551866	 37.836872	 64.805488	 40.287620	 84.126256	 47.182326	 77.240823	 42.497333	 66.157202	 41.848240	 
126.000000	 83.117098	 47.330194	 73.552234	 38.387311	 64.854982	 40.671486	 84.156408	 47.760046	 77.242660	 43.024474	 66.208598	 42.228870	 
128.000000	 83.139701	 47.877646	 73.543624	 38.920364	 64.898915	 41.044215	 84.178509	 48.320330	 77.235895	 43.534766	 66.254491	 42.598495	 
130.000000	 83.156603	 48.409047	 73.528576	 39.436726	 64.938269	 41.406246	 84.194496	 48.863878	 77.222884	 44.028900	 66.295823	 42.957546	 
132.000000	 83.169242	 48.925043	 73.509121	 39.937084	 64.973791	 41.758001	 84.205883	 49.391371	 77.205509	 44.512922	 66.333306	 43.306437	 
134.000000	 83.178708	 49.426259	 73.486848	 40.422111	 65.006029	 42.099883	 84.213825	 49.903466	 77.185242	 44.986402	 66.367455	 43.645570	 
136.000000	 83.185806	 49.913293	 73.462978	 40.892460	 65.035366	 42.432282	 84.219182	 50.400795	 77.163204	 45.445559	 66.398626	 43.975325	 
138.000000	 83.191586	 50.386714	 73.438423	 41.348763	 65.062066	 42.755564	 84.222586	 50.883963	 77.140232	 45.891010	 66.427058	 44.296064	 
140.000000	 83.203305	 50.848916	 73.413852	 41.791980	 65.086305	 43.070082	 84.224490	 51.353548	 77.116936	 46.323343	 66.452907	 44.608132	 
142.000000	 83.213505	 51.298424	 73.389734	 42.228403	 65.108211	 43.376167	 84.225217	 51.810099	 77.093747	 46.743123	 66.476288	 44.911856	 
144.000000	 83.222386	 51.735739	 73.366392	 42.652442	 65.127885	 43.674136	 84.224998	 52.254139	 77.070963	 47.150884	 66.497293	 45.207547	 
