# Buoyancy boundary layer depth time series
# <\delta_b(t)> averaged between 0.000000 and 2050.000000 with sampling frequency 2.000000
# time		 max(var(b)) in [0, H/2]	 z(max(var(b))in [0, H/2])	  max(var(b))in [H/2, H]	 z(max(var(b))in [H/2, H])	 \delta_b[inst.]	  max(<var(b)>)in [0, H/2]	 z(max(<var(b)>)in [0, H/2])	  max(<var(b)>)in [H/2, H]	 z(max(<var(b)>)in [H/2, H])	 \delta_b[av.]	 
0.000000	 0.000050	 0.495000	 0.000050	 0.505000	 0.495000	 0.000050	 0.495000	 0.000050	 0.505000	 0.495000	 
2.000000	 0.000048	 0.495000	 0.000048	 0.505000	 0.495000	 0.000049	 0.495000	 0.000049	 0.505000	 0.495000	 
4.000000	 0.000050	 0.495000	 0.000050	 0.505000	 0.495000	 0.000049	 0.495000	 0.000049	 0.505000	 0.495000	 
6.000000	 0.000056	 0.495000	 0.000056	 0.505000	 0.495000	 0.000051	 0.495000	 0.000051	 0.505000	 0.495000	 
8.000000	 0.000068	 0.495000	 0.000068	 0.505000	 0.495000	 0.000054	 0.495000	 0.000054	 0.505000	 0.495000	 
10.000000	 0.000086	 0.495000	 0.000086	 0.505000	 0.495000	 0.000060	 0.495000	 0.000060	 0.505000	 0.495000	 
12.000000	 0.000114	 0.495000	 0.000114	 0.505000	 0.495000	 0.000068	 0.495000	 0.000068	 0.505000	 0.495000	 
14.000000	 0.000156	 0.495000	 0.000156	 0.505000	 0.495000	 0.000079	 0.495000	 0.000079	 0.505000	 0.495000	 
16.000000	 0.000218	 0.495000	 0.000218	 0.505000	 0.495000	 0.000094	 0.495000	 0.000094	 0.505000	 0.495000	 
18.000000	 0.000308	 0.495000	 0.000308	 0.505000	 0.495000	 0.000115	 0.495000	 0.000115	 0.505000	 0.495000	 
20.000000	 0.000439	 0.495000	 0.000439	 0.505000	 0.495000	 0.000145	 0.495000	 0.000145	 0.505000	 0.495000	 
