# Velocity boundary layer depth time series
# <\delta_u(t)> averaged between 0.000000 and 2050.000000 with sampling frequency 2.000000
# time		 max(Re_uxRMS)in [0, H/2]	 z(max(Re_uxRMS)in [0, H/2])	  max(Re_uxRMS)in [H/2, H]	 z(max(Re_uxRMS)in [H/2, H])	 \delta_u[inst.]	  max(<Re_uxRMS>)in [0, H/2]	 z(max(<Re_uxRMS>)in [0, H/2])	  max(<Re_uxRMS>)in [H/2, H]	 z(max(<Re_uxRMS>)in [H/2, H])	 \delta_u[av.]	 
0.000000	 0.000000	 0.045000	 0.000000	 0.955000	 0.045000	 0.000000	 0.045000	 0.000000	 0.955000	 0.045000	 
2.000000	 0.156255	 0.055000	 0.156255	 0.945000	 0.055000	 0.078128	 0.055000	 0.078128	 0.945000	 0.055000	 
4.000000	 0.317040	 0.075000	 0.317040	 0.925000	 0.075000	 0.157683	 0.065000	 0.157683	 0.935000	 0.065000	 
6.000000	 0.487965	 0.085000	 0.487965	 0.915000	 0.085000	 0.240217	 0.075000	 0.240217	 0.925000	 0.075000	 
8.000000	 0.675866	 0.085000	 0.675866	 0.915000	 0.085000	 0.327162	 0.085000	 0.327162	 0.915000	 0.085000	 
10.000000	 0.887183	 0.095000	 0.887183	 0.905000	 0.095000	 0.420370	 0.085000	 0.420370	 0.915000	 0.085000	 
12.000000	 1.130312	 0.095000	 1.130312	 0.905000	 0.095000	 0.521371	 0.095000	 0.521371	 0.905000	 0.095000	 
14.000000	 1.413011	 0.095000	 1.413011	 0.905000	 0.095000	 0.632826	 0.095000	 0.632826	 0.905000	 0.095000	 
16.000000	 1.746409	 0.105000	 1.746409	 0.895000	 0.105000	 0.756422	 0.095000	 0.756422	 0.905000	 0.095000	 
18.000000	 2.141978	 0.105000	 2.141978	 0.895000	 0.105000	 0.894617	 0.095000	 0.894617	 0.905000	 0.095000	 
20.000000	 2.612469	 0.105000	 2.612469	 0.895000	 0.105000	 1.050188	 0.095000	 1.050188	 0.905000	 0.095000	 
22.000000	 3.173436	 0.105000	 3.173436	 0.895000	 0.105000	 1.227076	 0.105000	 1.227076	 0.895000	 0.105000	 
24.000000	 3.842890	 0.105000	 3.842890	 0.895000	 0.105000	 1.428292	 0.105000	 1.428292	 0.895000	 0.105000	 
26.000000	 4.641544	 0.105000	 4.641544	 0.895000	 0.105000	 1.657810	 0.105000	 1.657810	 0.895000	 0.105000	 
28.000000	 5.592986	 0.105000	 5.592986	 0.895000	 0.105000	 1.920155	 0.105000	 1.920155	 0.895000	 0.105000	 
30.000000	 6.723688	 0.105000	 6.723688	 0.895000	 0.105000	 2.220376	 0.105000	 2.220376	 0.895000	 0.105000	 
32.000000	 8.064104	 0.115000	 8.064104	 0.885000	 0.115000	 2.564046	 0.105000	 2.564046	 0.895000	 0.105000	 
34.000000	 9.645124	 0.115000	 9.645124	 0.885000	 0.115000	 2.957225	 0.105000	 2.957225	 0.895000	 0.105000	 
36.000000	 11.498175	 0.115000	 11.498175	 0.885000	 0.115000	 3.406373	 0.105000	 3.406373	 0.895000	 0.105000	 
38.000000	 13.653855	 0.115000	 13.653855	 0.885000	 0.115000	 3.918172	 0.105000	 3.918172	 0.895000	 0.105000	 
40.000000	 16.138083	 0.115000	 16.138083	 0.885000	 0.115000	 4.499251	 0.105000	 4.499251	 0.895000	 0.105000	 
42.000000	 18.967439	 0.115000	 18.967439	 0.885000	 0.115000	 5.156192	 0.115000	 5.156192	 0.885000	 0.115000	 
44.000000	 22.143089	 0.115000	 22.143089	 0.885000	 0.115000	 5.894753	 0.115000	 5.894753	 0.885000	 0.115000	 
46.000000	 25.643744	 0.115000	 25.643744	 0.885000	 0.115000	 6.717627	 0.115000	 6.717627	 0.885000	 0.115000	 
48.000000	 29.418885	 0.115000	 29.418885	 0.885000	 0.115000	 7.625678	 0.115000	 7.625678	 0.885000	 0.115000	 
50.000000	 33.384561	 0.115000	 33.384561	 0.885000	 0.115000	 8.616404	 0.115000	 8.616404	 0.885000	 0.115000	 
52.000000	 37.424907	 0.115000	 37.424906	 0.885000	 0.115000	 9.683385	 0.115000	 9.683385	 0.885000	 0.115000	 
54.000000	 41.402219	 0.115000	 41.402219	 0.885000	 0.115000	 10.816201	 0.115000	 10.816201	 0.885000	 0.115000	 
56.000000	 45.175859	 0.115000	 45.175859	 0.885000	 0.115000	 12.001017	 0.115000	 12.001017	 0.885000	 0.115000	 
58.000000	 48.625730	 0.115000	 48.625730	 0.885000	 0.115000	 13.221840	 0.115000	 13.221840	 0.885000	 0.115000	 
60.000000	 51.677462	 0.125000	 51.677462	 0.875000	 0.125000	 14.462195	 0.115000	 14.462195	 0.885000	 0.115000	 
62.000000	 54.341431	 0.125000	 54.341431	 0.875000	 0.125000	 15.706759	 0.115000	 15.706759	 0.885000	 0.115000	 
64.000000	 56.606960	 0.125000	 56.606960	 0.875000	 0.125000	 16.942551	 0.115000	 16.942551	 0.885000	 0.115000	 
66.000000	 58.519909	 0.125000	 58.519909	 0.875000	 0.125000	 18.159472	 0.115000	 18.159472	 0.885000	 0.115000	 
68.000000	 60.137973	 0.125000	 60.137973	 0.875000	 0.125000	 19.350274	 0.115000	 19.350274	 0.885000	 0.115000	 
70.000000	 61.604927	 0.135000	 61.604927	 0.865000	 0.135000	 20.516362	 0.125000	 20.516362	 0.875000	 0.125000	 
72.000000	 62.900016	 0.135000	 62.900017	 0.865000	 0.135000	 21.656680	 0.125000	 21.656680	 0.875000	 0.125000	 
74.000000	 64.066112	 0.145000	 64.066113	 0.855000	 0.145000	 22.764363	 0.125000	 22.764363	 0.875000	 0.125000	 
76.000000	 65.209934	 0.145000	 65.209935	 0.855000	 0.145000	 23.838876	 0.125000	 23.838876	 0.875000	 0.125000	 
78.000000	 66.262002	 0.145000	 66.262002	 0.855000	 0.145000	 24.880351	 0.125000	 24.880351	 0.875000	 0.125000	 
80.000000	 67.301263	 0.155000	 67.301263	 0.845000	 0.155000	 25.889379	 0.125000	 25.889379	 0.875000	 0.125000	 
82.000000	 68.302233	 0.155000	 68.302233	 0.845000	 0.155000	 26.868226	 0.135000	 26.868226	 0.865000	 0.135000	 
84.000000	 69.241969	 0.165000	 69.241970	 0.835000	 0.165000	 27.835262	 0.135000	 27.835262	 0.865000	 0.135000	 
86.000000	 70.190964	 0.165000	 70.190964	 0.835000	 0.165000	 28.774236	 0.135000	 28.774236	 0.865000	 0.135000	 
