# Buoyancy boundary layer depth time series
# <\delta_b(t)> averaged between 0.000000 and 130.000000 with sampling frequency 5.000000
# time		 max(var(b)) in [0, H/2]	 z(max(var(b))in [0, H/2])	  max(var(b))in [H/2, H]	 z(max(var(b))in [H/2, H])	 \delta_b[inst.]	  max(<var(b)>)in [0, H/2]	 z(max(<var(b)>)in [0, H/2])	  max(<var(b)>)in [H/2, H]	 z(max(<var(b)>)in [H/2, H])	 \delta_b[av.]	 
0.000000	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 
5.000000	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 
10.000000	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 
15.000000	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 
20.000000	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 
25.000000	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 0.000050	 0.498750	 0.000050	 0.501250	 0.498750	 
30.000000	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 
35.000000	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 
40.000000	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 
45.000000	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 
50.000000	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 
55.000000	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 
60.000000	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 0.000049	 0.498750	 0.000049	 0.501250	 0.498750	 
65.000000	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
70.000000	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
75.000000	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
80.000000	 0.000046	 0.498750	 0.000046	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
85.000000	 0.000046	 0.498750	 0.000046	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
90.000000	 0.000046	 0.498750	 0.000046	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
95.000000	 0.000046	 0.498750	 0.000046	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
100.000000	 0.000046	 0.498750	 0.000046	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
105.000000	 0.000045	 0.498750	 0.000045	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
110.000000	 0.000045	 0.498750	 0.000045	 0.501250	 0.498750	 0.000048	 0.498750	 0.000048	 0.501250	 0.498750	 
115.000000	 0.000045	 0.498750	 0.000045	 0.501250	 0.498750	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 
120.000000	 0.000045	 0.498750	 0.000045	 0.501250	 0.498750	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 
125.000000	 0.000045	 0.498750	 0.000045	 0.501250	 0.498750	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 
130.000000	 0.000045	 0.498750	 0.000045	 0.501250	 0.498750	 0.000047	 0.498750	 0.000047	 0.501250	 0.498750	 
